artist,song,name,sentence,upos,xpos,dep_rel,earliest,highestRank,year,posCorrection,NaP,last,compound
Metro Boomin Featuring 21 Savage,10 Freaky Girls,Harriet,Harriet Tubman,PROPN,NNP,root,2018-11-17,42,2018,,,,
Metro Boomin Featuring 21 Savage,10 Freaky Girls,Jess,For Jess,PROPN,NNP,root,2018-11-17,42,2018,,,,
Metro Boomin Featuring 21 Savage,10 Freaky Girls,Keisha,Keisha eat the molly like it's candy,PART,TO,mark,2018-11-17,42,2018,PROPN,,,
Metro Boomin Featuring 21 Savage,10 Freaky Girls,May,May you rest,AUX,MD,aux,2018-11-17,42,2018,,,,
Metro Boomin Featuring 21 Savage,10 Freaky Girls,Randy,Bodyslam a nigga like I'm Randy,PROPN,NNP,advcl,2018-11-17,42,2018,,,,
Metro Boomin Featuring 21 Savage,10 Freaky Girls,Sandy,"In Bikini Bottom, I'm with Sandy",PROPN,NNP,root,2018-11-17,42,2018,,,,
Metro Boomin Featuring 21 Savage,10 Freaky Girls,Tiffany,"I curve Tiffany, yeah",PROPN,NNP,obj,2018-11-17,42,2018,,,,
Trippie Redd Featuring Juice WRLD,1400 / 999 Freestyle,Ike,I'ma beat the shit up like Ike-y Turner,PROPN,NNP,compound,2018-11-24,55,2018,,,,
Trippie Redd Featuring Juice WRLD,1400 / 999 Freestyle,Ike,I'ma beat the shit up like Ike-y Turner,PROPN,NNP,compound,2018-11-24,55,2018,,,,
Trippie Redd Featuring Juice WRLD,1400 / 999 Freestyle,Madison,"These niggas square like Madison, oh",PROPN,NNP,obl,2018-11-24,55,2018,,,,
Trippie Redd Featuring Juice WRLD,1400 / 999 Freestyle,Madison,"I ball out like Madison, oh",PROPN,NNP,obl,2018-11-24,55,2018,,,,
Trippie Redd Featuring Juice WRLD,1400 / 999 Freestyle,Madison,"These niggas square like Madison, oh",PROPN,NNP,obl,2018-11-24,55,2018,,,,
Trippie Redd Featuring Juice WRLD,1400 / 999 Freestyle,Madison,"I ball out like Madison, oh",PROPN,NNP,obl,2018-11-24,55,2018,,,,
Trippie Redd Featuring Juice WRLD,1400 / 999 Freestyle,May,May take a half when I hit it from the back,AUX,MD,aux,2018-11-24,55,2018,,,,
Trippie Redd Featuring Juice WRLD,1400 / 999 Freestyle,May,May take a half when I hit it from the back,AUX,MD,aux,2018-11-24,55,2018,,,,
Trippie Redd Featuring Juice WRLD,1400 / 999 Freestyle,Turner,I'ma beat the shit up like Ike-y Turner,PROPN,NNP,obl,2018-11-24,55,2018,,,TRUE,
Trippie Redd Featuring Juice WRLD,1400 / 999 Freestyle,Turner,I'ma beat the shit up like Ike-y Turner,PROPN,NNP,obl,2018-11-24,55,2018,,,TRUE,
21 Savage,1.5,Bentley,"Rari red, Bentley black",PROPN,NNP,root,2019-01-05,86,2019,,car,,
21 Savage,1.5,Ella,You must look up to Ella,PROPN,NNP,obl,2019-01-05,86,2019,,,,
21 Savage,1.5,Jerry,Savage a.k.a. Jerry Heller,PROPN,NNP,appos,2019-01-05,86,2019,,,,
Meek Mill,1942 Flows,Bentley,"Bloggers in the frenzy, truck to the Bentley",PROPN,NNP,nmod,2017-08-12,83,2017,,car,,
Meek Mill,1942 Flows,Billy,"Billy with the stamp, I get two with it'",ADV,RB,advmod,2017-08-12,83,2017,PROPN,,,
Meek Mill,1942 Flows,Daniel,"Damn Daniel, why you selling Mr. Miyagi though",PROPN,NNP,flat,2017-08-12,83,2017,,,,
Meek Mill,1942 Flows,Jazmine,".40 bust your windows out, Jazmine Sullivan",PROPN,NNP,conj,2017-08-12,83,2017,,,,
Meek Mill,1942 Flows,Jesus,Like I'm Jesus the way she cross me,PROPN,NNP,root,2017-08-12,83,2017,,,,
Meek Mill,1942 Flows,Nicki,So when you see me out don't ask me about no Nicki,PROPN,NNP,obl,2017-08-12,83,2017,,,,
Meek Mill,1942 Flows,Ross,Ever since I met Ross and signed a dotted line,PROPN,NNP,obj,2017-08-12,83,2017,,,,
Meek Mill,1942 Flows,Sullivan,".40 bust your windows out, Jazmine Sullivan",PROPN,NNP,flat,2017-08-12,83,2017,,,TRUE,
Meek Mill,1942 Flows,Wendy,I look like tellin' my business on Wendy,PROPN,NNP,nmod,2017-08-12,83,2017,,,,
G-Eazy Featuring Yo Gotti & YBN Nahmir,1942,Baby,Baby hit my line because she see them stars in the roof,ADV,RB,advmod,2018-07-28,70,2018,PROPN,,,
G-Eazy Featuring Yo Gotti & YBN Nahmir,1942,Christian,"Red Christian Loubs, I rock designer shoes",PROPN,NNP,compound,2018-07-28,70,2018,,brand,,
Gunna Featuring Young Thug,3 Headed Snake,Ross,I fucked her at Ross place,PROPN,NNP,compound,2019-03-09,74,2019,,,,
Gunna Featuring Young Thug,3 Headed Snake,Royce,"I was in a Royce, I was seeing space",PROPN,NNP,root,2019-03-09,74,2019,,car,,
Future,31 Days,London,Took a few Pakistanians into London,PROPN,NNP,obl,2018-07-21,65,2018,,city,,
Zedd & Katy Perry,365,Baby,"Baby, you got me changing",ADV,RB,advmod,2019-03-02,86,2019,PROPN,,,
2 Chainz Featuring Travis Scott,03:59:59.99999999999920125,Carter,"Reminiscin' 'bout the trap, playin' the first Carter",NOUN,NN,obj,NA,NA,NA,PROPN,,,
Future,4 Da Gang,Jerry,"You see my plain Patek, cost Jerry Rice, nigga",PROPN,NNP,obj,2017-11-11,92,2017,,,,
