artist,song,name,sentence,upos,xpos,dep_rel,earliest,highestRank,year,posCorrection,NaP,last,compound
Future,4 Da Gang,Seth,"I was kicking it in overdrive, for Seth Firkins",PROPN,NNP,compound,2017-11-11,92,2017,,,,
Logic,44 More,Blaine,Levitated like I'm David Blaine,PROPN,NNP,flat,2018-03-10,65,2018,,,TRUE,
Logic,44 More,David,Levitated like I'm David Blaine,PROPN,NNP,advcl,2018-03-10,65,2018,,,,
Logic,44 More,David,Livin' a dream like I'm David Aames,PROPN,NNP,advcl,2018-03-10,65,2018,,,,
Logic,44 More,Elijah,"Yeah, I'm supplyin' the wood like Elijah",PROPN,NNP,obl,2018-03-10,65,2018,,,,
Logic,44 More,Harry,Sold more albums my first week than Harry Styles and Katy Perry,PROPN,NNP,nmod,2018-03-10,65,2018,,,,
Logic,44 More,Katy,Sold more albums my first week than Harry Styles and Katy Perry,PROPN,NNP,conj,2018-03-10,65,2018,,,,
Logic,44 More,Kevin,"That Kevin Durant, I'm a champion",PROPN,NNP,nsubj,2018-03-10,65,2018,,,,
Logic,44 More,Perry,Sold more albums my first week than Harry Styles and Katy Perry,PROPN,NNP,flat,2018-03-10,65,2018,,,,
Logic,44 More,Star,"Star Lord, champion",PROPN,NNP,root,2018-03-10,65,2018,remove,,,
JAY-Z,04:43:59.99999999999941650,Paris,I harassed you out in Paris,PROPN,NNP,obl,NA,NA,NA,,city,,
Lil Uzi Vert,444+222,Jay,"Million, on me, Jay Z",PROPN,NNP,compound,2017-09-16,100,2017,,,,
Lil Uzi Vert,444+222,Jay,"Million, on me, Jay Z",PROPN,NNP,compound,2017-09-16,100,2017,,,,
Lil Uzi Vert,444+222,Jay,"Million, on me, Jay Z",PROPN,NNP,compound,2017-09-16,100,2017,,,,
Lil Uzi Vert,444+222,Jay,"Million, on me, Jay Z",PROPN,NNP,compound,2017-09-16,100,2017,,,,
Lil Uzi Vert,444+222,Jay,"Million, on me, Jay Z",PROPN,NNP,compound,2017-09-16,100,2017,,,,
Lil Uzi Vert,444+222,Jay,"Million, on me, Jay Z",PROPN,NNP,compound,2017-09-16,100,2017,,,,
Travis Scott,5% Tint,Kevin,All that fall in love shit she got it Kevin Hart,PROPN,NNP,xcomp,2018-08-18,36,2018,,,,
Lil Yachty Featuring Trippie Redd,66,Baby,"Baby girl I'm tryna fuck, why is you ventin'?",ADJ,JJ,amod,2018-03-24,73,2018,,,,
Lil Yachty Featuring Trippie Redd,66,Bentley,"Racks up, racks up, pullin' out a Bentley truck",PROPN,NNP,compound,2018-03-24,73,2018,,car,,
Lil Yachty Featuring Trippie Redd,66,Bentley,I just pulled up in a Bentley,PROPN,NNP,obl,2018-03-24,73,2018,,car,,
Lil Yachty Featuring Trippie Redd,66,Bentley,"Racks up, racks up, pullin' out a Bentley truck",PROPN,NNP,compound,2018-03-24,73,2018,,car,,
Lil Yachty Featuring Trippie Redd,66,Bentley,"Racks up, racks up, pullin' out a Bentley truck",PROPN,NNP,compound,2018-03-24,73,2018,,car,,
Lil Yachty Featuring Trippie Redd,66,Bentley,"Side by side, me and Trippie in the Bentley",PROPN,NNP,obl,2018-03-24,73,2018,,car,,
Lil Yachty Featuring Trippie Redd,66,Bentley,"Racks up, racks up , pullin' out a Bentley truck",PROPN,NNP,compound,2018-03-24,73,2018,,car,,
Ariana Grande,7 Rings,Tiffany,"Yeah, breakfast at Tiffany's and bottles of bubbles",PROPN,NNP,nmod,2019-02-02,1,2019,,,,
Drake,8 Out Of 10,Max,Max said they only bless when they attached to you,PROPN,NNP,nsubj,2018-07-14,21,2018,,,,
Drake,8 Out Of 10,Will,Helipad from Will Smith crib straight to the stage,PROPN,NNP,compound,2018-07-14,21,2018,,,,
Post Malone,92 Explorer,Bentley,"Used to mock him, now his cars some Bentley mock-ups",PROPN,NNP,compound,2018-05-12,40,2018,,car,,
Post Malone,92 Explorer,London,We got London On Da Track,PROPN,NNP,obj,2018-05-12,40,2018,,,,
Post Malone,92 Explorer,London,We got London On Da Track,PROPN,NNP,obj,2018-05-12,40,2018,,,,
Post Malone,92 Explorer,Roseanne,"Bought the bar, Roseanne",PROPN,NNP,appos,2018-05-12,40,2018,,,,
French Montana Featuring The Weeknd & Max B,A Lie,Baby,"Baby girl, comin' home and you can't stay, out",ADJ,JJ,amod,2017-08-05,75,2017,,,,
French Montana Featuring The Weeknd & Max B,A Lie,Karl,"Me and Max hit the block like Karl Malone, Stockton",PROPN,NNP,compound,2017-08-05,75,2017,,,,
French Montana Featuring The Weeknd & Max B,A Lie,Max,"Me and Max hit the block like Karl Malone, Stockton",PROPN,NNP,conj,2017-08-05,75,2017,,,,
French Montana Featuring The Weeknd & Max B,A Lie,Montana,"Montana, Montana, ow",PROPN,NNP,root,2017-08-05,75,2017,,,,
French Montana Featuring The Weeknd & Max B,A Lie,Montana,"Montana, Montana, ow",PROPN,NNP,appos,2017-08-05,75,2017,,,,
21 Savage,A Lot,Cole,Cole on a mission,NOUN,NN,root,2019-01-05,12,2019,PROPN,,,
21 Savage,A Lot,Dennis,"Dennis Smith Jr., stay solid, my nigga",PROPN,NNP,nsubj,2019-01-05,12,2019,,,,
City Girls,Act Up,Ford,Ford,PROPN,NNP,root,2019-03-16,43,2019,,,,
City Girls,Act Up,Tom,He'll curse a nigga rockin' Tom,PROPN,NNP,appos,2019-03-16,43,2019,,,,
Drake Featuring Static Major & Ty Dolla $ign,After Dark,Al,"It's Al Wood and you are safe, soft, and warm",PROPN,NNP,compound,2018-07-14,41,2018,,,,
Drake Featuring Static Major & Ty Dolla $ign,After Dark,Jill,"My Funny Valentine, Jill Scott",PROPN,NNP,compound,2018-07-14,41,2018,,,,
Drake Featuring Static Major & Ty Dolla $ign,After Dark,Luther,the selected music of Mr Luther Van Dross,PROPN,NNP,compound,2018-07-14,41,2018,,,,
Drake Featuring Static Major & Ty Dolla $ign,After Dark,Scott,"My Funny Valentine, Jill Scott",PROPN,NNP,appos,2018-07-14,41,2018,,,,
Drake Featuring Static Major & Ty Dolla $ign,After Dark,Valentine,"My Funny Valentine, Jill Scott",PROPN,NNP,root,2018-07-14,41,2018,remove,holiday,,
Drake Featuring Static Major & Ty Dolla $ign,After Dark,Van,the selected music of Mr Luther Van Dross,PROPN,NNP,nmod,2018-07-14,41,2018,,,TRUE,
J. Cole,Album Of The Year (Freestyle),Billy,Now we push pills and sell heroin to Billy,PROPN,NNP,obl,2018-08-25,87,2018,,,,
J. Cole,Album Of The Year (Freestyle),Billy,Now Billy momma want the judge to pardon his addiction,PROPN,RB,advmod,2018-08-25,87,2018,,,,
J. Cole,Album Of The Year (Freestyle),Cliff,"Shout out Oak Cliff, I'm 'bout to fly to Dallas",PROPN,NNP,obj,2018-08-25,87,2018,remove,,,
J. Cole,Album Of The Year (Freestyle),Dallas,"Shout out Oak Cliff, I'm 'bout to fly to Dallas",PROPN,NNP,obl,2018-08-25,87,2018,,city,,
J. Cole,Album Of The Year (Freestyle),Mark,"What up, Mark Cuban?",PROPN,NNP,compound,2018-08-25,87,2018,,,,
Future & Young Thug,All Da Smoke,Barry,I got Barry Bonds on my wrist,PROPN,NNP,compound,2017-11-11,77,2017,,,,
Future & Young Thug,All Da Smoke,Bentley,"300 racks on a Bentley truck, yeah yeah",PROPN,NNP,compound,2017-11-11,77,2017,,car,,
Future & Young Thug,All Da Smoke,Chanel,"I got pom-poms in my rear, Chanel CoCo in my kill",PROPN,NNP,compound,2017-11-11,77,2017,,brand,,
Juice WRLD,All Girls Are The Same,Carlo,Wake up the next day in the Monte Carlo,PROPN,NNP,obl,2018-05-26,41,2018,,city,,
Juice WRLD,All Girls Are The Same,John,"I'm a jealous boy, really feel like John Lennon",PROPN,NNP,obl,2018-05-26,41,2018,,,,
Juice WRLD,All Girls Are The Same,Lennon,"I'm a jealous boy, really feel like John Lennon",PROPN,NNP,flat,2018-05-26,41,2018,,,TRUE,
Juice WRLD,All Girls Are The Same,Monte,Wake up the next day in the Monte Carlo,PROPN,NNP,compound,2018-05-26,41,2018,,city,,
Kanye West,All Mine,Campbell,I could have Naomi Campbell,PROPN,NNP,obj,2018-06-16,11,2018,,,TRUE,
Kanye West,All Mine,Christian,All these thots on Christian Mingle,PROPN,NNP,compound,2018-06-16,11,2018,,religion,,
Kanye West,All Mine,Corey,I call that taking Corey Gambles,PROPN,NNP,compound,2018-06-16,11,2018,,,,
Kanye West,All Mine,Kerry,If I pull up with a Kerry Washington,PROPN,NNP,obl,2018-06-16,11,2018,,,,
Kanye West,All Mine,Kobe,If you don't ball like him or Kobe,PROPN,NNP,conj,2018-06-16,11,2018,,,,
Kanye West,All Mine,Naomi,I could have Naomi Campbell,PROPN,NNP,compound,2018-06-16,11,2018,,,,
Kanye West,All Mine,Stormy,And still might want me a Stormy Daniels,PROPN,NNP,compound,2018-06-16,11,2018,,,,
Kanye West,All Mine,Tristan,Almost what got Tristan single,PROPN,NNP,obj,2018-06-16,11,2018,,,,
21 Savage,All My Friends,Bentley,I lost all my friends countin' bands in the Bentley coupe,PROPN,NNP,compound,2019-01-05,67,2019,,car,,
21 Savage,All My Friends,Bentley,I lost all my friends countin' bands in the Bentley coupe,PROPN,NNP,compound,2019-01-05,67,2019,,car,,
21 Savage,All My Friends,Bentley,I lost all my friends countin' bands in the Bentley coupe,PROPN,NNP,compound,2019-01-05,67,2019,,car,,
21 Savage,All My Friends,Bentley,I lost all my friends countin' bands in the Bentley coupe,PROPN,NNP,compound,2019-01-05,67,2019,,car,,
21 Savage,All My Friends,Bentley,I lost all my friends countin' bands in the Bentley coupe,PROPN,NNP,compound,2019-01-05,67,2019,,car,,
Devin Dawson,All On Me,Baby,Baby put it all on me,PROPN,NNP,nsubj,2017-11-18,52,2017,,,,
Devin Dawson,All On Me,Baby,Baby put it all on me,PROPN,NNP,nsubj,2017-11-18,52,2017,,,,
Devin Dawson,All On Me,Baby,Baby you can bet your life on me,SCONJ,IN,mark,2017-11-18,52,2017,PROPN,,,
Devin Dawson,All On Me,Baby,Baby put it all on me,PROPN,NNP,nsubj,2017-11-18,52,2017,,,,
Billie Eilish,All The Good Girls Go To Hell,Peter,"Peter's on vacation, an open invitation",PROPN,NNP,nsubj,2019-04-13,46,2019,,,,
Billie Eilish,All The Good Girls Go To Hell,Peter,Peter should know better,PROPN,NNP,nsubj,2019-04-13,46,2019,,,,
Meek Mill,Almost Slipped,Ginger,"Ginger from the movie, ooh",NOUN,NN,root,2018-12-15,73,2018,,,,
Halsey Featuring Big Sean & Stefflon Don,Alone,Baby,"Baby, as soon as you meet me",ADV,RB,root,2018-04-21,100,2018,PROPN,,,
Halsey Featuring Big Sean & Stefflon Don,Alone,Baby,"Baby, as soon as you meet me",ADV,RB,root,2018-04-21,100,2018,PROPN,,,
Halsey Featuring Big Sean & Stefflon Don,Alone,Baby,"Baby, as soon as you meet me",ADV,RB,root,2018-04-21,100,2018,PROPN,,,
Halsey Featuring Big Sean & Stefflon Don,Alone,Cali,I got a new place in Cali,PROPN,NNP,nmod,2018-04-21,100,2018,,state,,
Halsey Featuring Big Sean & Stefflon Don,Alone,Paris,I stayed a night out in Paris,PROPN,NNP,obl,2018-04-21,100,2018,,city,,
Lady Gaga,Always Remember Us This Way,Baby,"Baby, it hurts",PROPN,NNP,vocative,2018-10-20,100,2018,,,,
Lady Gaga,Always Remember Us This Way,Baby,"Baby, it hurts",PROPN,NNP,vocative,2018-10-20,100,2018,,,,
Lady Gaga,Always Remember Us This Way,Baby,"Baby, it hurts",PROPN,NNP,vocative,2018-10-20,100,2018,,,,
Young Thug Featuring Nicki Minaj,Anybody,Chanel,Lady Chanel for the luggage,PROPN,NNP,flat,2018-04-28,89,2018,,brand,,
XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee,Arms Around You,Chanel,Y conmingo estàs vestida de Chanel,PROPN,NNP,nmod,2018-11-10,28,2018,,brand,,
XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee,Arms Around You,Mercedes,Pull out the Rollie in a Mercedes,PROPN,NNPS,obl,2018-11-10,28,2018,,car,,
21 Savage,ASMR,Becky,I still call her Becky,PROPN,NNP,xcomp,2019-01-05,95,2019,,,,
21 Savage,ASMR,Chanel,"She don't get no new Chanel, she gon' throw a fit",PROPN,NNP,obj,2019-01-05,95,2019,,brand,,
21 Savage,ASMR,Richard,Richard Mille cost so much I could push,PROPN,NNP,compound,2019-01-05,95,2019,,,,
Future & Juice WRLD,Astronauts,Al,"I be with my Chi town brothers, Al Capone",PROPN,NNP,appos,2018-11-03,82,2018,,,,
Future & Juice WRLD,Astronauts,Chanel,Blow my head off she deserve Chanel coco,PROPN,NNP,compound,2018-11-03,82,2018,,brand,,
Future & Juice WRLD,Astronauts,Emilio,"Emilio Pucci, not regular fly",PROPN,NNP,nsubj,2018-11-03,82,2018,,,,
Future & Juice WRLD,Astronauts,Hope,Hope you never get to murder solving like nothing's wrong,VERB,VBP,root,2018-11-03,82,2018,,,,
Future & Juice WRLD,Astronauts,Hope,"Hope one day you runnin to your ops, you get em going",VERB,VBP,root,2018-11-03,82,2018,,,,
Future & Juice WRLD,Astronauts,Louis,"Louis Vuitton bandana, too many shopping bags",PROPN,NNP,root,2018-11-03,82,2018,,brand,,
Future & Juice WRLD,Astronauts,Richard,Richard Mille or the Rollie it don't tick tock,PROPN,NNP,nsubj,2018-11-03,82,2018,,,,
Future & Juice WRLD,Astronauts,Riley,"I grew up a bad kid, 'coulda been Riley on the Boondocks",PROPN,NNP,parataxis,2018-11-03,82,2018,,,,
Future & Juice WRLD,Astronauts,Susie,"White bitch nerdy, her name Susie, uh",PROPN,NNP,appos,2018-11-03,82,2018,,,,
J. Cole,ATM,Cole,"Now Cole, he important",PROPN,NNP,vocative,2018-05-05,42,2018,,,,
J. Cole,ATM,Martin,My niggas beside me like Tommy and Martin,PROPN,NNP,conj,2018-05-05,42,2018,,,,
J. Cole,ATM,Tommy,My niggas beside me like Tommy and Martin,PROPN,NNP,nmod,2018-05-05,42,2018,,,,
J. Cole,ATM,Will,Will I fall?,AUX,MD,aux,2018-05-05,42,2018,,,,
J. Cole,ATM,Will,Will I fly?,AUX,MD,aux,2018-05-05,42,2018,,,,
J. Cole,ATM,Will,Will I fall?,AUX,MD,aux,2018-05-05,42,2018,,,,
J. Cole,ATM,Will,Will I fly?,AUX,MD,aux,2018-05-05,42,2018,,,,
Charlie Puth,Attention,Baby,"Baby, now that we're, now that we're, now that we're right here standing face to face",ADV,RB,advmod,2017-05-13,10,2017,,,,
Migos,Auto Pilot,Barry,Birds singing like Barry,PROPN,NNP,obl,2018-02-10,85,2018,,,,
Migos,Auto Pilot,Cannon,"Chopper ring, drumline, Nick Cannon",PROPN,NNP,flat,2018-02-10,85,2018,,,TRUE,
Migos,Auto Pilot,Mary,Skeletons singing like Mary,PROPN,NNP,obl,2018-02-10,85,2018,,,,
Migos,Auto Pilot,Nick,"Chopper ring, drumline, Nick Cannon",PROPN,NNP,appos,2018-02-10,85,2018,,,,
Pinkfong,Baby Shark,Baby,"Baby Shark doo doo, doo doo doo doo",PROPN,NNP,root,2019-01-12,32,2019,remove,,,
Pinkfong,Baby Shark,Baby,"Baby Shark doo doo, doo doo doo doo",PROPN,NNP,root,2019-01-12,32,2019,remove,,,
Pinkfong,Baby Shark,Baby,"Baby Shark doo doo, doo doo doo doo",PROPN,NNP,root,2019-01-12,32,2019,remove,,,
Pinkfong,Baby Shark,Baby,Baby Shark,PROPN,NNP,compound,2019-01-12,32,2019,remove,,,
Louis Tomlinson Featuring Bebe Rexha & Digital Farm Animals,Back To You,Baby,"Baby, here we go again",PROPN,NNP,vocative,2017-08-12,40,2017,,,,
Halsey,Bad At Love,Jack,And it tastes like Jack when I'm kissing him,NOUN,NN,obl,2017-09-23,5,2017,,alcohol,,
Halsey,Bad At Love,London,London girl with an attitude,PROPN,NNP,compound,2017-09-23,5,2017,,city,,
Selena Gomez,Bad Liar,Troy,But just like the battle of Troy,PROPN,NNP,nmod,2017-06-03,20,2017,,city,,
Post Malone Featuring Nicki Minaj,Ball For Me,Baby,"Baby, give you the world, baby",ADV,RB,advmod,2018-05-12,16,2018,,,,
Post Malone Featuring Nicki Minaj,Ball For Me,Baby,"Baby, gonna take the charge and take the fall for me",PROPN,NNP,root,2018-05-12,16,2018,,,,
Post Malone Featuring Nicki Minaj,Ball For Me,James,Got 'em lookin' like James Harden at the awards,PROPN,NNP,obl,2018-05-12,16,2018,,,,
JAY-Z Featuring Damian \Jr. Gong\ Marely,Bam,Bobby,I'll Bobby Shmurda anybody you heard of,PROPN,NNP,compound,2017-07-29,47,2017,,,,
JAY-Z Featuring Damian \Jr. Gong\ Marely,Bam,Carter,"Fuck all this pretty Shawn Carter shit nigga, HOV",PROPN,NNP,compound,2017-07-29,47,2017,,,TRUE,
JAY-Z Featuring Damian \Jr. Gong\ Marely,Bam,Carter,"Fuck all this pretty Shawn Carter shit nigga, HOV",PROPN,NNP,compound,2017-07-29,47,2017,,,TRUE,
JAY-Z Featuring Damian \Jr. Gong\ Marely,Bam,Carter,"Fuck all this pretty Shawn Carter shit nigga, HOV",PROPN,NNP,compound,2017-07-29,47,2017,,,TRUE,
JAY-Z Featuring Damian \Jr. Gong\ Marely,Bam,Emory,Emory passed you niggas and he did a bid,PROPN,NNP,nsubj,2017-07-29,47,2017,,,,
JAY-Z Featuring Damian \Jr. Gong\ Marely,Bam,Shawn,"Fuck all this pretty Shawn Carter shit nigga, HOV",PROPN,NNP,compound,2017-07-29,47,2017,,,,
JAY-Z Featuring Damian \Jr. Gong\ Marely,Bam,Shawn,Shawn was on that gospel shit,PROPN,NNP,nsubj,2017-07-29,47,2017,,,,
JAY-Z Featuring Damian \Jr. Gong\ Marely,Bam,Shawn,"Shawn was in flight mode, I bought a Pyrex",PROPN,NNP,nsubj,2017-07-29,47,2017,,,,
JAY-Z Featuring Damian \Jr. Gong\ Marely,Bam,Shawn,"Fuck all this pretty Shawn Carter shit nigga, HOV",PROPN,NNP,compound,2017-07-29,47,2017,,,,
JAY-Z Featuring Damian \Jr. Gong\ Marely,Bam,Shawn,"Fuck all this pretty Shawn Carter shit nigga, HOV",PROPN,NNP,compound,2017-07-29,47,2017,,,,
JAY-Z Featuring Damian \Jr. Gong\ Marely,Bam,Turner,"Birth of a Nation, Nat Turner style",PROPN,NNP,compound,2017-07-29,47,2017,,,TRUE,
JAY-Z Featuring Damian \Jr. Gong\ Marely,Bam,Ty,Ty,PROPN,NNP,root,2017-07-29,47,2017,,,,
JAY-Z Featuring Damian \Jr. Gong\ Marely,Bam,Ty,Ty jumped over niggas and he's like 5'6,PROPN,nsubj,NA,2017-07-29,47,2017,,,,
21 Savage,Bank Account,Bentley,Rari matte black and I got a Bentley with me,PROPN,NNP,obj,2017-07-29,12,2017,,car,,
21 Savage,Bank Account,Harley,"I pull up in 'rari's and shit, with choppers and Harley's and shit",PROPN,NNP,conj,2017-07-29,12,2017,,motorcycle,,
21 Savage,Bank Account,Marcus,Walk in Neiman Marcus and I spend a light fifty,PROPN,NNP,obl,2017-07-29,12,2017,,store,,
21 Savage,Bank Account,Max,"Bitch, I'm Mad Max, you know I got Ziggy with me",PROPN,NNP,root,2017-07-29,12,2017,,,,
21 Savage,Bank Account,Reggie,"I shoot like Reggie Mill', dog",PROPN,NNP,compound,2017-07-29,12,2017,,,,
Nicki Minaj,Barbie Dreams,Dave,"A hand full of Weezy, sprinkle of Dave East",PROPN,NNP,compound,2018-08-25,18,2018,,,,
Nicki Minaj,Barbie Dreams,Drake,"Drake worth a hundred milli, always buying me shit",VERB,VB,root,2018-08-25,18,2018,,,,
Nicki Minaj,Barbie Dreams,Drake,Til I saw him hopping out of cars dancing to Drake,VERB,VB,xcomp,2018-08-25,18,2018,,,,
Nicki Minaj,Barbie Dreams,Ed,I remember when I used to have a crush on Special Ed,PROPN,NNP,nmod,2018-08-25,18,2018,,,,
Nicki Minaj,Barbie Dreams,Kim,Curved him and went the Kim and Kanye way,PROPN,NNP,obj,2018-08-25,18,2018,,,,
Nicki Minaj,Barbie Dreams,Mike,"Like Mike Tyson, he was biting my shit",PROPN,NNP,obl,2018-08-25,18,2018,,,,
Nicki Minaj,Barbie Dreams,Odell,And I would've had Odell Beckham banging the cake,PROPN,NNP,obj,2018-08-25,18,2018,,,,
Nicki Minaj,Barbie Dreams,Rick,"Shoutout to my Jews, l'chaim, Rick Rubin",PROPN,NNP,root,2018-08-25,18,2018,,,,
Nicki Minaj,Barbie Dreams,Ruben,No I ain't Studdard and no I ain't Ruben,VERB,VBN,conj,2018-08-25,18,2018,PROPN,,,
Nicki Minaj,Barbie Dreams,Rubin,"Shoutout to my Jews, l'chaim, Rick Rubin",PROPN,NNP,flat,2018-08-25,18,2018,,,TRUE,
Nicki Minaj,Barbie Dreams,Scottie,"I'ma do that nigga Future dirty, word to Scottie",PROPN,NNP,nmod,2018-08-25,18,2018,,,,
Nicki Minaj,Barbie Dreams,Stefan,I turn Stefan into Urkel,PROPN,NNP,obj,2018-08-25,18,2018,,,,
Nicki Minaj,Barbie Dreams,Tyson,"Like Mike Tyson, he was biting my shit",PROPN,NNP,flat,2018-08-25,18,2018,,,,
Nicki Minaj,Barbie Tingz,Drake,"That's Lil Weezy, the Barbie and Drizzy Drake",PROPN,NNP,conj,2018-04-21,25,2018,,,,
Nicki Minaj,Barbie Tingz,Guy,Ritchie like Guy and I still eat Thai,PROPN,NNP,nmod,2018-04-21,25,2018,,,,
Nicki Minaj,Barbie Tingz,Guy,Ritchie like Guy and I still eat Thai,PROPN,NNP,nmod,2018-04-21,25,2018,,,,
Nicki Minaj,Barbie Tingz,Jay,"I spoke to Jay the other day, he's still the kingpin",PROPN,NNP,obl,2018-04-21,25,2018,,,,
Nicki Minaj,Barbie Tingz,Nicki,Want the Nicki cheat code?,PROPN,NNP,compound,2018-04-21,25,2018,,,,
Nicki Minaj,Barbie Tingz,Nicki,Want the Nicki cheat code?,PROPN,NNP,compound,2018-04-21,25,2018,,,,
Nicki Minaj,Barbie Tingz,Wayne,If I ain't sign to Wayne's perfectly designed crew,PROPN,NNP,nmod:poss,2018-04-21,25,2018,,,,
Cardi B Featuring 21 Savage,Bartier Cardi,Bentley,Bentley truck lane to lane,PROPN,NNP,compound,2018-01-06,14,2018,,car,,
Cardi B Featuring 21 Savage,Bartier Cardi,Bentley,Bentley truck lane to lane,PROPN,NNP,compound,2018-01-06,14,2018,,car,,
