file,count,newArtist,newSong
Silver-Wham_Bam_(Shang-A-La.txt,3,Silver,Wham Bam (Shang-A-Lang)
Sir_Mix-A-Lot-Baby_Got_Back.txt,27,Sir Mix-A-Lot,Baby Got Back
Sir_Mix-A-Lot-Jump_On_It.txt,18,Sir Mix-A-Lot,Jump On It
Skee-Lo-I_Wish.txt,2,Skee-Lo,I Wish
Squeeze-853-5937.txt,4,Squeeze,853-5937
The_Chi-lites-I_Found_Sunshine.txt,8,The Chi-lites,I Found Sunshine
The_Chi-lites-The_Coldest_Days_Of_.txt,1,The Chi-lites,The Coldest Days Of My Life (Part 1)
The_Coasters-Little_Egypt_(Ying-Y.txt,1,The Coasters,Little Egypt (Ying-Yang)
The_Everly_Brot-Be_Bop_A-Lula.txt,72,The Everly Brothers,Be Bop A-Lula
The_Shangri-Las-Give_Us_Your_Blessin.txt,30,The Shangri-Las,Give Us Your Blessings
The_Shangri-Las-Leader_Of_The_Pack.txt,1,The Shangri-Las,Leader Of The Pack
The_Time-777-9311.txt,25,The Time,777-9311
The-Dream_Featu-My_Love.txt,1,The-Dream Featuring Mariah Carey,My Love
Third_Eye_Blind-Semi-Charmed_Life.txt,1,Third Eye Blind,Semi-Charmed Life
Thomas_Rhett-T-Shirt.txt,1,Thomas Rhett,T-Shirt
Wilson_Pickett-634-5789_(Soulsville.txt,4,Wilson Pickett,"634-5789 (Soulsville, U.S.A.)"
Wilson_Pickett-Mini-Skirt_Minnie.txt,7,Wilson Pickett,Mini-Skirt Minnie
Wilson_Pickett-Stag-O-Lee.txt,13,Wilson Pickett,Stag-O-Lee
