artist,song,name,sentence,upos,xpos,dep_rel,posCorrection,NaP,last,compound
Justin Bieber,Baby,Baby,"Like Baby, Baby, Baby no",PROPN,NNP,root,,,,
Justin Bieber,Baby,Baby,"Like Baby, Baby, Baby no",PROPN,NNP,conj,,,,
Justin Bieber,Baby,Baby,"Like Baby, Baby, Baby no",PROPN,NNP,conj,,,,
Justin Bieber,Baby,Baby,"Like Baby, Baby, Baby no oh",PROPN,NNP,root,,,,
Justin Bieber,Baby,Baby,"Like Baby, Baby, Baby no oh",PROPN,NNP,conj,,,,
Justin Bieber,Baby,Baby,"Like Baby, Baby, Baby no oh",PROPN,NNP,conj,,,,
Justin Bieber,Baby,Baby,"Baby, Baby, Baby oh",PROPN,NNP,root,,,,
Justin Bieber,Baby,Baby,"Baby, Baby, Baby oh",PROPN,NNP,conj,,,,
Justin Bieber,Baby,Baby,"Baby, Baby, Baby oh",PROPN,NNP,conj,,,,
Justin Bieber,Baby,Baby,"Like Baby, Baby, Baby no",PROPN,NNP,root,,,,
Justin Bieber,Baby,Baby,"Like Baby, Baby, Baby no",PROPN,NNP,conj,,,,
Justin Bieber,Baby,Baby,"Like Baby, Baby, Baby no",PROPN,NNP,conj,,,,
Justin Bieber,Baby,Baby,"Like Baby, Baby, Baby no oh",PROPN,NNP,root,,,,
Justin Bieber,Baby,Baby,"Like Baby, Baby, Baby no oh",PROPN,NNP,conj,,,,
Justin Bieber,Baby,Baby,"Like Baby, Baby, Baby no oh",PROPN,NNP,conj,,,,
Elton John,Bennie and the Jets,Bennie,"Oh, Bennie, she's really keen",PROPN,NNP,vocative,,,,
Elton John,Bennie and the Jets,Bennie,But Bennie makes them ageless,PROPN,NNP,nsubj,,,,
Elton John,Bennie and the Jets,Bennie,"Oh, Bennie, she's really keen",PROPN,NNP,vocative,,,,
Elton John,Bennie and the Jets,Bennie,"Oh, Bennie, she's really keen",PROPN,NNP,vocative,,,,
Elton John,Bennie and the Jets,Bennie,"Bennie, Bennie and the Jets",PROPN,NNP,root,,,,
Elton John,Bennie and the Jets,Bennie,"Bennie, Bennie and the Jets",PROPN,NNP,conj,,,,
Elton John,Bennie and the Jets,Bennie,"Bennie, Bennie, Bennie, Bennie and the Jets",PROPN,NNP,root,,,,
Elton John,Bennie and the Jets,Bennie,"Bennie, Bennie, Bennie, Bennie and the Jets",PROPN,NNP,conj,,,,
Elton John,Bennie and the Jets,Bennie,"Bennie, Bennie, Bennie, Bennie and the Jets",PROPN,NNP,conj,,,,
Elton John,Bennie and the Jets,Bennie,"Bennie, Bennie, Bennie, Bennie and the Jets",PROPN,NNP,conj,,,,
Elton John,Bennie and the Jets,Bennie,"Bennie, Bennie, Bennie, Bennie, Bennie and the Jets",PROPN,NNP,root,,,,
Elton John,Bennie and the Jets,Bennie,"Bennie, Bennie, Bennie, Bennie, Bennie and the Jets",PROPN,NNP,conj,,,,
Elton John,Bennie and the Jets,Bennie,"Bennie, Bennie, Bennie, Bennie, Bennie and the Jets",PROPN,NNP,conj,,,,
Elton John,Bennie and the Jets,Bennie,"Bennie, Bennie, Bennie, Bennie, Bennie and the Jets",PROPN,NNP,conj,,,,
Elton John,Bennie and the Jets,Bennie,"Bennie, Bennie, Bennie, Bennie, Bennie and the Jets",PROPN,NNP,conj,,,,
Elton John,Bennie and the Jets,Bennie,"Bennie, Bennie, Bennie, Bennie and the Jets",PROPN,NNP,root,,,,
Elton John,Bennie and the Jets,Bennie,"Bennie, Bennie, Bennie, Bennie and the Jets",PROPN,NNP,conj,,,,
Elton John,Bennie and the Jets,Bennie,"Bennie, Bennie, Bennie, Bennie and the Jets",PROPN,NNP,conj,,,,
Elton John,Bennie and the Jets,Bennie,"Bennie, Bennie, Bennie, Bennie and the Jets",PROPN,NNP,conj,,,,
Elton John,Bennie and the Jets,Bennie,"Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie and the Jets, the Jets, the Jets",PROPN,NNP,root,,,,
Elton John,Bennie and the Jets,Bennie,"Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie and the Jets, the Jets, the Jets",PROPN,NNP,conj,,,,
Elton John,Bennie and the Jets,Bennie,"Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie and the Jets, the Jets, the Jets",PROPN,NNP,conj,,,,
Elton John,Bennie and the Jets,Bennie,"Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie and the Jets, the Jets, the Jets",PROPN,NNP,conj,,,,
Elton John,Bennie and the Jets,Bennie,"Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie and the Jets, the Jets, the Jets",PROPN,NNP,conj,,,,
