"artist","song","name","sentence","upos","xpos","dep_rel"
"'Til Tuesday","Coming Up Close","Dylan","And listened to a Dylan tape","PROPN","NNP","compound"
"10,000 Maniacs","These Are Days","May","When May is rushing over you with desire to be part of the miracles you see in every hour.","PROPN","NNP","nsubj"
"10,000 Maniacs","What's The Matter Here?","Morgan","We live on Morgan Street","PROPN","NNP","compound"
"10cc","Art For Art's Sake","Art","Art for arts sake","AUX","VBP","cop"
"10cc","Art For Art's Sake","Art","Art for Arts sake","PROPN","NNP","root"
"10cc","Art For Art's Sake","Art","Art for arts sake","AUX","VBP","cop"
"10cc","Art For Art's Sake","Art","Art for Arts sake","PROPN","NNP","root"
"10cc","Art For Art's Sake","Art","Art for arts sake","AUX","VBP","cop"
"10cc","Art For Art's Sake","Art","Art for arts sake","AUX","VBP","cop"
"10cc","Art For Art's Sake","Art","Art for arts sake","AUX","VBP","cop"
"10cc","Art For Art's Sake","Art","Art for arts sake","AUX","VBP","cop"
"10cc","Art For Art's Sake","Heaven","Bread from Heaven","PROPN","NNP","nmod"
"10cc","For You And I","Will","Will remain","AUX","MD","aux"
"10cc","Good Morning Judge","Quentin","San Quentin is the place to be","PROPN","NNP","flat"
"10cc","I'm Mandy Fly Me","Mandy","I'm Mandy fly me","PROPN","NNP","nsubj"
"10cc","I'm Mandy Fly Me","Mandy","Try me Mandy fly me away","PROPN","NNP","nsubj"
"10cc","I'm Mandy Fly Me","Mandy","I felt Mandy pull me up give me the kiss of life","PROPN","NNP","nsubj"
"10cc","I'm Mandy Fly Me","Mandy","If it hadn't have been for Mandy","PROPN","NNP","root"
"10cc","I'm Mandy Fly Me","Mandy","I'm Mandy fly me","PROPN","NNP","nsubj"
"10cc","Rubber Bullets","Sam","Sam is the one","PROPN","NNP","nsubj"
"112","Come See Me","Baby","Baby, you can come see me 'cause I need you here with me,","ADV","RB","advmod"
"112","Come See Me","Baby","Baby, you can come see me 'cause I need you here with me,","ADV","RB","advmod"
"112","Come See Me","Baby","Baby, you can come see me 'cause I need you here with me","ADV","RB","advmod"
"112","Come See Me","Baby","Baby, you can come see me 'cause I need you here with me","ADV","RB","advmod"
"112","Come See Me","Baby","Baby, you can come see me 'cause I need you here with me,","ADV","RB","advmod"
"112","Come See Me","Baby","Baby, you can come see me and I need you,","ADV","RB","advmod"
"112","Come See Me","Baby","Baby, you can come see me 'cause I need you here with me,","ADV","RB","advmod"
"112","Come See Me","Baby","Baby, you can come see me and I need you,","ADV","RB","advmod"
"112","Cupid","Baby","Baby I'm so tired of the way you turn my words into","SCONJ","IN","mark"
"112","Cupid","Baby","Baby I'm so tired of the way you turn my words into","SCONJ","IN","mark"
"112","It's Over Now","Baby","Baby you know","SCONJ","IN","mark"
"112","It's Over Now","Baby","Baby it's a shame we gotta go through this","SCONJ","IN","mark"
"112","It's Over Now","Baby","Baby you know","SCONJ","IN","mark"
"112","It's Over Now","Baby","Baby it's a shame we gotta go through this","SCONJ","IN","mark"
"112","It's Over Now","Baby","Baby it's a shame we gotta go through this","SCONJ","IN","mark"
"112","It's Over Now","Baby","Baby it's a shame","SCONJ","IN","mark"
"112","It's Over Now","Baby","Baby it's a shame we gotta go through this","SCONJ","IN","mark"
"112","It's Over Now","Baby","Baby it's a shame we gotta go through this","SCONJ","IN","mark"
"112","Peaches & Cream","Bentley","Gettin' freaky in my Bentley limousine","PROPN","NNP","compound"
"112","Peaches & Cream","Bentley","Gettin' freaky in my Bentley limousine","PROPN","NNP","compound"
"112","Peaches & Cream","Bentley","Gettin' freaky in my Bentley limousine","PROPN","NNP","compound"
"112","Peaches & Cream","Bentley","Gettin' freaky in my Bentley limousine","PROPN","NNP","compound"
"112","Peaches & Cream","Bentley","Gettin' freaky in my Bentley limousine","PROPN","NNP","compound"
"112","Peaches & Cream","Bentley","Gettin' freaky in my Bentley limousine","PROPN","NNP","compound"
"112","Peaches & Cream","Bentley","Gettin' freaky in my Bentley limousine","PROPN","NNP","compound"
"112","Peaches & Cream","Bentley","Gettin' freaky in my Bentley limousine","PROPN","NNP","compound"
"112 Featuring Mase","Love Me","Baby","Baby whenever I'm with you,","PROPN","NNP","root"
"112 Featuring Mase","Love Me","Baby","Baby don't go,","ADV","RB","advmod"
"112 Featuring Mase","Love Me","Baby","Baby don't go,","ADV","RB","advmod"
"112 Featuring Mase","Love Me","Cherry","Cherry Rover,","PROPN","NNP","compound"
"112 Featuring Mase","Love Me","Junior","Harlem World-Junior Mafia,","PROPN","NNP","compound"
"112 Featuring Super Cat","Na Na Na Na","Baby","Baby it's ecstasy","SCONJ","IN","mark"
"112 Featuring Super Cat","Na Na Na Na","Don","The Rapper Don and 112 he nah gon stay pon the shelf.","PROPN","NNP","appos"
"112 Featuring Super Cat","Na Na Na Na","Vicki","Jump off her coat and she take off the Vicki night","PROPN","NNP","compound"
"112 Featuring The Notorious B.I.G.","Only You","Baby","Baby, I need you in my life","PROPN","NNP","vocative"
"112 Featuring The Notorious B.I.G.","Only You","Baby","Baby, I need you in my life","PROPN","NNP","vocative"
"112 Featuring The Notorious B.I.G.","Only You","Bert","And stash more cash than Bert Padell, inhale","PROPN","NNP","compound"
"112 Featuring The Notorious B.I.G.","Only You","Dick","Dick up in your middle like Monie","VERB","VB","root"
"112 Featuring The Notorious B.I.G.","Only You","Don","Escada, Don Dada, player, stay splurging","PROPN","NNP","flat"
"112 Featuring The Notorious B.I.G.","Only You","Jesus","Jesus, the Notorious just","PROPN","NNP","vocative"
"112 Featuring The Notorious B.I.G.","Only You","Pablo","Cats named Pablo in milked out Diablos","PROPN","NNP","obj"
"112 Featuring The Notorious B.I.G.","Only You","Toni","Make you feel good like Tony Toni Tone","PROPN","NNP","flat"
"112 Featuring The Notorious B.I.G.","Only You","Tony","Make you feel good like Tony Toni Tone","PROPN","NNP","compound"
"2 Chainz","I'm Different","Luke","Tell shawty bust it open, Uncle Luke on","NOUN","NN","obl"
