"artist","song","earliest","highestRank","year"
"2 Chainz Featuring Ariana Grande","Rule The World",2019-03-16,"
94
",2019
"2 Chainz Featuring Kendrick Lamar","Momma I Hit A Lick",2019-03-16,"
100
",2019
"2 Chainz Featuring Travis Scott","4 AM",2017-06-24,"
55
",2017
"2 Chainz Featuring Travis Scott","Whip",2019-03-16,"
75
",2019
"2 Chainz Featuring Ty Dolla $ign, Trey Songz & Jhene Aiko","It's A Vibe",2017-07-01,"
 60
",2017
"2 Chainz Featuring YG & Offset","Proud",2018-04-14,"
96
",2018
"2 Chainz x Gucci Mane x Quavo","Good Drank",2017-02-11,"
70
",2017
"2 Chainz, Drake & Quavo","Bigger > You",2018-06-30,"
53
",2018
"21 Savage","1.5",2019-01-05,"
86
",2019
"21 Savage","A Lot",2019-01-05,"
12
",2019
"21 Savage","All My Friends",2019-01-05,"
67
",2019
"21 Savage","ASMR",2019-01-05,"
95
",2019
"21 Savage","Bank Account",2017-07-29,"
12
",2017
"21 Savage","Break Da Law",2019-01-05,"
70
",2019
"21 Savage","Can't Leave Without It",2019-01-05,"
58
",2019
"21 Savage","Famous",2017-07-29,"
94
 ",2017
"21 Savage","Gun Smoke",2019-01-05,"
93
",2019
"21 Savage","Monster",2019-01-05,"
73
",2019
"21 Savage","Out For The Night",2019-01-05,"
88
",2019
"21 Savage","Red Opps",2017-01-07,"
74
",2017
"21 Savage & Metro Boomin","My Choppa Hate N****s",2017-11-18,"
73
",2017
"21 Savage & Metro Boomin","No Heart",2017-01-07,"
43
",2017
"21 Savage & Metro Boomin Featuring Future","X",2017-01-07,"
36
",2017
"21 Savage, Offset & Metro Boomin","Mad Stalkers",2017-11-25,"
99
",2017
"21 Savage, Offset & Metro Boomin Featuring Quavo","Rap Saved Me",2017-11-18,"
64
",2017
"21 Savage, Offset & Metro Boomin Featuring Travis Scott","Ghostface Killers",2017-11-18,"
35
",2017
"5 Seconds Of Summer","Want You Back",2018-03-10,"
61
",2018
"5 Seconds Of Summer","Youngblood",2018-06-16,"
10
",2018
"6ix9ine","Billy",2018-03-10,"
50
",2018
"6ix9ine","Gotti",2018-04-28,"
99
",2018
"6ix9ine","Gummo",2017-12-02,"
12
",2017
"6ix9ine","Kooda",2017-12-23,"
50
",2017
"6ix9ine Featuring A Boogie Wit da Hoodie","WAKA",2018-12-08,"
51
",2018
"6ix9ine Featuring Anuel AA","BEBE",2018-09-15,"
30
",2018
"6ix9ine Featuring Bobby Shmurda","STOOPID",2018-10-20,"
25
",2018
"6ix9ine Featuring DJ SPINKING","TATI",2018-06-09,"
46
",2018
"6ix9ine Featuring Lil Baby","TIC TOC",2018-12-08,"
53
",2018
"6ix9ine Featuring Nicki Minaj & Kanye West","MAMA",2018-12-08,"
100
",2018
"6ix9ine Featuring Nicki Minaj & Murda Beatz","FEFE",2018-08-04,"
10
",2018
"6ix9ine Featuring Tory Lanez","KIKA",2018-12-08,"
44
",2018
"6ix9ine Featuring Tory Lanez & Young Thug","RONDO",2018-03-10,"
73
",2018
"6ix9ine, Fetty Wap & A Boogie Wit da Hoodie","KEKE",2018-01-27,"
43
",2018
"6LACK","Prblms",2017-04-01,"
72
",2017
"6LACK Featuring J. Cole","Pretty Little Fears",2018-09-29,"
76
",2018
"A Boogie Wit da Hoodie","Look Back At It",2018-12-22,"
32
",2018
"A Boogie Wit da Hoodie","My Sh*t",2017-01-14,"
100
",2017
"A Boogie Wit da Hoodie","No Promises",2017-10-21,"
74
",2017
"A Boogie Wit da Hoodie","Say A'",2017-10-21,"
75
",2017
"A Boogie Wit da Hoodie Featuring 21 Savage","Undefeated",2017-10-21,"
84
",2017
"A Boogie Wit da Hoodie Featuring 6ix9ine","Swervin",2019-01-05,"
38
",2019
"A Boogie Wit da Hoodie Featuring DJ SPINKING","Timeless",2017-01-14,"
86
",2017
"A Boogie Wit da Hoodie Featuring Juice WRLD","Demons And Angels",2019-01-05,"
90
",2019
"A Boogie Wit da Hoodie Featuring Kodak Black","Drowning",2017-04-22,"
38
",2017
"A Boogie Wit da Hoodie Featuring Offset & Tyga","Startender",2019-01-05,"
59
",2019
"A Boogie Wit da Hoodie Featuring PnB Rock & YoungBoy Never Broke Again","Beast Mode",2017-10-21,"
86
",2017
"A$AP Ferg Featuring Nicki Minaj","Plain Jane",2017-10-14,"
26
",2017
"A$AP Rocky Featuring Moby","A$AP Forever",2018-04-21,"
63
",2018
"A$AP Rocky Featuring Skepta","Praise The Lord (Da Shine)",2018-06-09,"
45
",2018
"Addison Agen","Tennessee Rain",2018-01-03,"
67
",2018
"Adele","Water Under The Bridge",2017-01-07,"
26
",2017
"AJR","Burn The House Down",2018-12-01,"
100
",2018
"AJR","Weak",2017-04-29,"
73
",2017
"Alec Benjamin Featuring Alessia Cara","Let Me Down Slowly",2019-01-26,"
100
",2019
"Alessia Cara","Growing Pains",2018-07-14,"
65
",2018
"Alessia Cara","How Far I'll Go",2017-01-07,"
100
",2017
"Alessia Cara","Scars To Your Beautiful",2017-01-07,"
10
",2017
"Alice Merton","No Roots",2018-04-07,"
100
",2018
"Amine","Caroline",2017-01-07,"
11
",2017
"Andy Grammer","Fresh Eyes",2017-01-07,"
68
",2017
"Andy Williams","It's The Most Wonderful Time Of The Year",2017-01-07,"
10
",2017
"Anuel AA & Karol G","Secreto",2019-02-02,"
68
",2019
"Anuel AA & Romeo Santos","Ella Quiere Beber",2018-11-17,"
61
",2018
"Ariana Grande","7 Rings",2019-02-02,"
1
",2019
"Ariana Grande","Bad Idea",2019-02-23,"
27
",2019
"Ariana Grande","Bloodline",2019-02-23,"
22
",2019
"Ariana Grande","Break Up With Your Girlfriend, I'm Bored",2019-02-23,"
13
",2019
"Ariana Grande","Breathin",2018-09-01,"
12
",2018
"Ariana Grande","Everytime",2018-09-01,"
62
",2018
"Ariana Grande","Fake Smile",2019-02-23,"
26
",2019
"Ariana Grande","Ghostin",2019-02-23,"
25
",2019
"Ariana Grande","God Is A Woman",2018-07-28,"
 17
",2018
"Ariana Grande","Goodnight N Go",2018-09-01,"
87
",2018
"Ariana Grande","Imagine",2018-12-29,"
21
",2018
"Ariana Grande","In My Head",2019-02-23,"
38
",2019
"Ariana Grande","Make Up",2019-02-23,"
48
",2019
"Ariana Grande","NASA",2019-02-23,"
17
",2019
"Ariana Grande","Needy",2019-02-23,"
14
",2019
"Ariana Grande","No Tears Left To Cry",2018-05-05,"
10
",2018
"Ariana Grande","Pete Davidson",2018-09-01,"
99
",2018
"Ariana Grande","R.E.M",2018-09-01,"
72
",2018
"Ariana Grande","Sweetener",2018-09-01,"
55
",2018
"Ariana Grande","Thank U, Next",2018-11-17,"
1
",2018
"Ariana Grande & John Legend","Beauty And The Beast",2017-02-25,"
87
",2017
"Ariana Grande & Victoria Monet","Monopoly",2019-04-13,"
70
",2019
"Ariana Grande Featuring Future","Everyday",2017-03-04,"
55
",2017
"Ariana Grande Featuring Nicki Minaj","Side To Side",2017-01-07,"
12
",2017
"Ariana Grande Featuring Nicki Minaj","The Light Is Coming",2018-07-07,"
89
",2018
"Auli'i Cravalho","How Far I'll Go",2017-01-07,"
41
",2017
"Ava Max","Sweet But Psycho",2018-12-29,"
19
",2018
"Avicii","Wake Me Up!",2018-05-05,"
34
",2018
"Avril Lavigne","Head Above Water",2018-10-06,"
64
",2018
"Ayo & Teo","Rolex",2017-03-04,"
20
",2017
"Backstreet Boys","Don't Go Breaking My Heart",2018-06-02,"
63
",2018
"Bad Bunny","Solo de Mi",2019-01-12,"
93
",2019
"Bad Bunny Featuring Drake","MIA",2018-10-27,"
13
",2018
"Bad Wolves","Zombie",2018-03-24,"
54
",2018
"Bazzi","Mine",2018-02-03,"
 15
",2018
"Bazzi Featuring Camila Cabello","Beautiful",2018-08-18,"
26
",2018
"Bebe Rexha","I Got You",2017-01-21,"
43
",2017
"Bebe Rexha","I'm A Mess",2018-07-28,"
35
",2018
"Bebe Rexha","Last Hurrah",2019-04-06,"
98
",2019
"Bebe Rexha & Florida Georgia Line","Meant To Be",2017-11-11,"
10
",2017
