"artist","song","name","sentence","upos","xpos","dep_rel"
"Metro Boomin Featuring 21 Savage","10 Freaky Girls","Harriet","Harriet Tubman","PROPN","NNP","root"
"Metro Boomin Featuring 21 Savage","10 Freaky Girls","Jess","For Jess","PROPN","NNP","root"
"Metro Boomin Featuring 21 Savage","10 Freaky Girls","Keisha","Keisha eat the molly like it's candy","PART","TO","mark"
"Metro Boomin Featuring 21 Savage","10 Freaky Girls","May","May you rest","AUX","MD","aux"
"Metro Boomin Featuring 21 Savage","10 Freaky Girls","Randy","Bodyslam a nigga like I'm Randy","PROPN","NNP","advcl"
"Metro Boomin Featuring 21 Savage","10 Freaky Girls","Sandy","In Bikini Bottom, I'm with Sandy","PROPN","NNP","root"
"Metro Boomin Featuring 21 Savage","10 Freaky Girls","Tiffany","I curve Tiffany, yeah","PROPN","NNP","obj"
"Trippie Redd Featuring Juice WRLD","1400 / 999 Freestyle","Ike","I'ma beat the shit up like Ike-y Turner","PROPN","NNP","compound"
"Trippie Redd Featuring Juice WRLD","1400 / 999 Freestyle","Ike","I'ma beat the shit up like Ike-y Turner","PROPN","NNP","compound"
"Trippie Redd Featuring Juice WRLD","1400 / 999 Freestyle","Madison","These niggas square like Madison, oh","PROPN","NNP","obl"
"Trippie Redd Featuring Juice WRLD","1400 / 999 Freestyle","Madison","I ball out like Madison, oh","PROPN","NNP","obl"
"Trippie Redd Featuring Juice WRLD","1400 / 999 Freestyle","Madison","These niggas square like Madison, oh","PROPN","NNP","obl"
"Trippie Redd Featuring Juice WRLD","1400 / 999 Freestyle","Madison","I ball out like Madison, oh","PROPN","NNP","obl"
"Trippie Redd Featuring Juice WRLD","1400 / 999 Freestyle","May","May take a half when I hit it from the back","AUX","MD","aux"
"Trippie Redd Featuring Juice WRLD","1400 / 999 Freestyle","May","May take a half when I hit it from the back","AUX","MD","aux"
"Trippie Redd Featuring Juice WRLD","1400 / 999 Freestyle","Turner","I'ma beat the shit up like Ike-y Turner","PROPN","NNP","obl"
"Trippie Redd Featuring Juice WRLD","1400 / 999 Freestyle","Turner","I'ma beat the shit up like Ike-y Turner","PROPN","NNP","obl"
"21 Savage","1.5","Bentley","'Rari red, Bentley black","PROPN","NNP","root"
"21 Savage","1.5","Ella","You must look up to Ella","PROPN","NNP","obl"
"21 Savage","1.5","Jerry","Savage a.k.a. Jerry Heller","PROPN","NNP","appos"
"Meek Mill","1942 Flows","Bentley","Bloggers in the frenzy, truck to the Bentley","PROPN","NNP","nmod"
"Meek Mill","1942 Flows","Billy","Billy with the stamp, I get two with it'","ADV","RB","advmod"
