"artist","count","person"
"10cc",2,TRUE
"112",3,TRUE
"112 Featuring Mase",1,TRUE
"112 Featuring Super Cat",1,TRUE
"112 Featuring The Notorious B.I.G.",1,TRUE
"2 Chainz",1,TRUE
"2 Chainz Featuring Drake & Lil Wayne",1,TRUE
"2 Chainz Featuring Kendrick Lamar",1,TRUE
"2 Chainz Featuring Lil Wayne",1,TRUE
"2 Chainz Featuring Pharrell",1,TRUE
"2 Chainz Featuring Travis Scott",2,TRUE
"2 Chainz Featuring YG & Offset",1,TRUE
"2 Chainz x Gucci Mane x Quavo",1,TRUE
"2 Unlimited",1,TRUE
"21 Savage",6,TRUE
"21 Savage & Metro Boomin",1,TRUE
"21 Savage & Metro Boomin Featuring Future",1,TRUE
"21 Savage, Offset & Metro Boomin",1,TRUE
"21 Savage, Offset & Metro Boomin Featuring Quavo",1,TRUE
"21 Savage, Offset & Metro Boomin Featuring Travis Scott",1,TRUE
"2Gether",1,TRUE
"2nd II None",1,TRUE
"2Pac",5,TRUE
"2Pac, Notorious B.I.G., Radio, Dramacydal & Stretch",1,TRUE
"3OH!3",4,TRUE
"3OH!3 Featuring Katy Perry",1,TRUE
"3OH!3 Featuring Ke$ha",1,TRUE
"3rd Bass",1,TRUE
"3T",1,TRUE
"50 Cent",7,TRUE
"50 Cent Featuring Eminem & Adam Levine",1,TRUE
"504 Boyz",1,TRUE
"6ix9ine",1,TRUE
"6ix9ine Featuring A Boogie Wit da Hoodie",1,TRUE
"6ix9ine Featuring Anuel AA",1,TRUE
"6ix9ine Featuring Bobby Shmurda",1,TRUE
"6ix9ine Featuring Nicki Minaj & Kanye West",1,TRUE
"6ix9ine Featuring Nicki Minaj & Murda Beatz",1,TRUE
"6ix9ine Featuring Tory Lanez",1,TRUE
"702",2,TRUE
"98 Degrees",1,TRUE
"A Boogie Wit da Hoodie",3,TRUE
"A Boogie Wit da Hoodie Featuring 21 Savage",1,TRUE
"A Boogie Wit da Hoodie Featuring 6ix9ine",1,TRUE
"A Boogie Wit da Hoodie Featuring DJ SPINKING",1,TRUE
"A Boogie Wit da Hoodie Featuring Kodak Black",1,TRUE
"A Boogie Wit da Hoodie Featuring Offset & Tyga",1,TRUE
"A Boogie Wit da Hoodie Featuring PnB Rock & YoungBoy Never Broke Again",1,TRUE
"A Tribe Called Quest",4,TRUE
"A+",1,TRUE
"A$AP Ferg Featuring Nicki Minaj",1,TRUE
"Aaliyah",8,TRUE
"Aaliyah Featuring Timbaland",1,TRUE
"Aaron Carter",2,TRUE
"Aaron Lewis Featuring George Jones & Charlie Daniels",1,TRUE
"Aaron Neville",4,TRUE
"ABBA",2,TRUE
"ABC",2,TRUE
"Ace Hood",1,TRUE
"Ace Hood Featuring Chris Brown",1,TRUE
"Ace Hood Featuring Future & Rick Ross",1,TRUE
"Ace Of Base",1,TRUE
"Action Bronson Featuring Chance The Rapper",1,TRUE
"Adam Lambert",4,TRUE
"Adam Sandler",1,TRUE
"Adina Howard",1,TRUE
"Aerosmith",8,TRUE
