"artist","count","person"
"Afrojack Featuring Eva Simons",1,TRUE
"After 7",1,TRUE
"Akon",1,TRUE
"Akon Featuring Eminem",1,TRUE
"Akon Featuring Lil Wayne",1,TRUE
"Akon Featuring Lil Wayne & Young Jeezy",1,TRUE
"Akon Featuring Snoop Dogg",1,TRUE
"Akon Featuring Styles P.",1,TRUE
"Al B. Sure!",2,TRUE
"Al Green",7,TRUE
"Al Martino",1,TRUE
"Al Stewart",2,TRUE
"Al Wilson",1,TRUE
"Alabama Shakes",1,TRUE
"Alan Jackson",8,TRUE
"Alanis Morissette",1,TRUE
"Alannah Myles",1,TRUE
"Alexander O'Neal",1,TRUE
"Alice Cooper",2,TRUE
"Alicia Bridges",1,TRUE
"Alicia Keys",4,TRUE
"Alien Ant Farm",1,TRUE
"All Saints",1,TRUE
"All-4-One",2,TRUE
"Alpha Rev",1,TRUE
"Alvin And The Chipmunks Featuring Chris Classic",1,TRUE
"Amanda Marshall",1,TRUE
"Ambrosia",2,TRUE
"America",4,TRUE
"Amerie",1,TRUE
"Amii Stewart",1,TRUE
"Amine",1,TRUE
"Amy Grant",4,TRUE
"Amy Winehouse",1,TRUE
"Amy Winehouse Featuring Ghostface Killah",1,TRUE
"Andrew Gold",1,TRUE
"Andrew McMahon In The Wilderness",1,TRUE
"Andy Griggs",2,TRUE
"Andy Kim",2,TRUE
"Andy Pratt",1,TRUE
"Andy Williams",4,TRUE
"Angie Stone",1,TRUE
"Anita Baker",2,TRUE
"Anne Murray",3,TRUE
"Another Bad Creation",1,TRUE
"Anthony Hamilton",1,TRUE
"Anuel AA & Karol G",1,TRUE
"Anuel AA & Romeo Santos",1,TRUE
"April Wine",1,TRUE
"Aqua",1,TRUE
"Arcadia",1,TRUE
"Aretha Franklin",15,TRUE
"Ariana Grande",10,TRUE
"Ariana Grande & The Weeknd",1,TRUE
"Ariana Grande & Victoria Monet",1,TRUE
"Ariana Grande Featuring Future",1,TRUE
"Ariana Grande Featuring Lil Wayne",1,TRUE
"Ariana Grande Featuring Mac Miller",1,TRUE
"Ariana Grande Featuring Nicki Minaj",2,TRUE
"Arthur Conley",1,TRUE
"Ashanti",4,TRUE
"Asher Roth",3,TRUE
"Ashley Tisdale",2,TRUE
"Ashton Shepherd",1,TRUE
"Atlanta Rhythm Section",4,TRUE
"August Alsina",1,TRUE
"Austin Mahone Featuring Pitbull",1,TRUE
"Avant",2,TRUE
"Average White Band",1,TRUE
"Avril Lavigne",2,TRUE
"B.B. King",9,TRUE
"B.J. Thomas",3,TRUE
"B.o.B",3,TRUE
"B.o.B Featuring 2 Chainz",1,TRUE
"B.o.B Featuring Andre 3000",1,TRUE
"B.o.B Featuring Bruno Mars",1,TRUE
"B.o.B Featuring Eminem & Haley Williams",1,TRUE
"B.o.B Featuring Lil Wayne",1,TRUE
"B.o.B Featuring Priscilla",1,TRUE
"B.o.B Featuring Rivers Cuomo",1,TRUE
"B.o.B Featuring T.I. & Playboy Tre",1,TRUE
"B.o.B Featuring Taylor Swift",1,TRUE
"B.o.B Featuring Trey Songz",1,TRUE
"B.W. Stevenson",1,TRUE
"B2K",2,TRUE
"B2K & P. Diddy",1,TRUE
"Bachman-Turner Overdrive",1,TRUE
"Backstreet Boys",9,TRUE
"Bad Boy's Da Band",1,TRUE
"Bad Bunny",1,TRUE
"Bad Bunny Featuring Drake",1,TRUE
"Bad Company",4,TRUE
"Bad English",5,TRUE
"Bad Meets Evil",1,TRUE
"Bad Meets Evil Featuring Bruno Mars",1,TRUE
"Badfinger",3,TRUE
"Bananarama",3,TRUE
"Bandit Gang Marco Featuring Dro",1,TRUE
"Barbara Lewis",4,TRUE
"Barbara Lynn",1,TRUE
"Barbra Streisand",4,TRUE
"Barbra Streisand & Neil Diamond",1,TRUE
"Barenaked Ladies",2,TRUE
"Barry Manilow",6,TRUE
"Barry McGuire",1,TRUE
"Barry White",6,TRUE
"Basia",1,TRUE
"Bazzi",1,TRUE
"Bazzi Featuring Camila Cabello",1,TRUE
"BBMak",1,TRUE
"Bea Miller",1,TRUE
"Beastie Boys",4,TRUE
"Beastie Boys Featuring Nas",1,TRUE
"Bebe Rexha",1,TRUE
"Bebe Rexha & Florida Georgia Line",1,TRUE
"Beck",2,TRUE
"Becky G",2,TRUE
"Becky G + Natti Natasha",1,TRUE
"Becky G Featuring Bad Bunny",1,TRUE
"Bee Gees",3,TRUE
"Beenie Man",1,TRUE
"Beenie Man Featuring Chevelle Franklyn",1,TRUE
"Beenie Man Featuring Janet",1,TRUE
"Beenie Man Featuring Ms. Thing",1,TRUE
"Beenie Man Featuring Mya",1,TRUE
"Before Dark",1,TRUE
"Belinda Carlisle",3,TRUE
"Bell Biv Devoe",3,TRUE
"Belly",1,TRUE
"Belly Featuring The Weeknd",1,TRUE
"Ben E. King",3,TRUE
"Ben Rector",1,TRUE
"benny blanco & Juice WRLD Featuring Brendon Urie",1,TRUE
"benny blanco, Tainy, Selena Gomez & J Balvin",1,TRUE
"Benzino",1,TRUE
"Bertie Higgins",1,TRUE
"Bette Midler",2,TRUE
"Better Than Ezra",1,TRUE
"Betty Everett",1,TRUE
"Beyonce",15,TRUE
"Beyonce & Shakira",1,TRUE
"Beyonce Featuring Drake",1,TRUE
"Beyonce Featuring Jack White",1,TRUE
"Beyonce Featuring Jay-Z",1,TRUE
"Beyonce Featuring Lady Gaga",1,TRUE
"Beyonce Featuring Sean Paul",1,TRUE
"Bhad Bhabie",1,TRUE
"Big & Rich",4,TRUE
"Big Daddy Kane Feat. Spinderella, L. Williams",1,TRUE
"Big Daddy Kane Feat. Spinderella, L. Williams & K. Anderson",1,TRUE
"Big Punisher",1,TRUE
"Big Punisher Featuring Joe",1,TRUE
"Big Sean",6,TRUE
"Big Sean & Metro Boomin Featuring 21 Savage",1,TRUE
"Big Sean & Metro Boomin Featuring Travis Scott",1,TRUE
"Big Sean Featuring Chris Brown",1,TRUE
"Big Sean Featuring Chris Brown & Ty Dolla $ign",1,TRUE
"Big Sean Featuring Drake",1,TRUE
"Big Sean Featuring Eminem",1,TRUE
"Big Sean Featuring Jeremih",1,TRUE
"Big Sean Featuring Kanye West",1,TRUE
"Big Sean Featuring Kanye West & John Legend",1,TRUE
"Big Sean Featuring Lil Wayne & Jhene Aiko",1,TRUE
"Big Sean Featuring Migos",1,TRUE
"Big Sean Featuring Wiz Khalifa",1,TRUE
"Bilal",1,TRUE
"Bill Anderson",2,TRUE
"Bill Conti",1,TRUE
"Bill Withers",1,TRUE
"Billie Eilish",3,TRUE
"Billy Bland",1,TRUE
"Billy Currington",5,TRUE
"Billy Idol",1,TRUE
"Billy Joe Royal",1,TRUE
"Billy Joel",9,TRUE
"Billy Lawrence Featuring MC Lyte",1,TRUE
"Billy Ocean",2,TRUE
"Billy Paul",1,TRUE
"Billy Rankin",1,TRUE
"Billy Ray Cyrus",2,TRUE
"Billy Ray Cyrus With Miley Cyrus",1,TRUE
"Billy Stewart",1,TRUE
"Birdman Featuring Lil Wayne",3,TRUE
"Birdman Featuring Lil Wayne & Drake",1,TRUE
"Biz Markie",1,TRUE
"Blac Youngsta",1,TRUE
"Black Eyed Peas Featuring Macy Gray",1,TRUE
"Black Oak Arkansas",1,TRUE
"Black Rob",1,TRUE
"BLACKstreet",2,TRUE
"Blaine Larsen",1,TRUE
"Blake Shelton",13,TRUE
"Blessid Union Of Souls",3,TRUE
"BlocBoy JB Featuring Drake",1,TRUE
"Blondie",2,TRUE
"Blood, Sweat & Tears",3,TRUE
"Bloodhound Gang",1,TRUE
"Blu Cantrell",1,TRUE
"Blue Oyster Cult",2,TRUE
"Blues Brothers",1,TRUE
"Blues Traveler",1,TRUE
"Bob Dylan",6,TRUE
"Bob Seger",1,TRUE
"Bobbie Gentry",1,TRUE
"Bobby Bare",2,TRUE
"Bobby Bloom",1,TRUE
"Bobby Brown",4,TRUE
"Bobby Darin",8,TRUE
"Bobby Freeman",1,TRUE
"Bobby Goldsboro",2,TRUE
"Bobby Hebb",1,TRUE
"Bobby Russell",1,TRUE
"Bobby Shmurda",1,TRUE
"Bobby Valentino",1,TRUE
"Bobby Valentino Featuring Timbaland",1,TRUE
"Bobby Vee",1,TRUE
"Bobby Vinton",7,TRUE
"Bobby Womack",1,TRUE
"Bobby Womack & Peace",1,TRUE
"Bobby Womack/Patti LaBelle",1,TRUE
"Bon Jovi",8,TRUE
"Bone Thugs-N-Harmony",3,TRUE
"Boney M",1,TRUE
"Bonnie Raitt",1,TRUE
"Bonnie Tyler",1,TRUE
"Boston",2,TRUE
"Bow Wow Featuring Chris Brown & Johnta Austin",1,TRUE
"Bow Wow Featuring Johnta Austin",1,TRUE
"Bow Wow Featuring Lil Wayne",1,TRUE
"Bow Wow Featuring Soulja Boy Tell'em",1,TRUE
"Bow Wow Wow",2,TRUE
"Bowling For Soup",3,TRUE
"Boyz II Men",3,TRUE
"Boyz N Da Hood",1,TRUE
"Boz Scaggs",3,TRUE
"Brad Paisley",12,TRUE
"Brad Paisley Featuring Alabama",1,TRUE
"Brad Paisley Featuring LL Cool J",1,TRUE
"Bradley Cooper",1,TRUE
"Brand Nubian",2,TRUE
"Brandy Featuring Chris Brown",1,TRUE
"Brantley Gilbert",3,TRUE
"Bread",5,TRUE
"Breaking Benjamin",1,TRUE
"Brenda Lee",4,TRUE
"Brett Young",2,TRUE
"Brian Hyland",3,TRUE
"Brian McKnight",1,TRUE
"Brian McKnight Featuring Mase",1,TRUE
"Brian Wilson",1,TRUE
"Bridgit Mendler",1,TRUE
"British Lions",1,TRUE
"Britney Spears",13,TRUE
"Britney Spears & Iggy Azalea",1,TRUE
"Britney Spears Featuring G-Eazy",2,TRUE
"Britney Spears Featuring Madonna",1,TRUE
"Britney Spears Featuring Nicki Minaj & Ke$ha",1,TRUE
"Brook Benton",1,TRUE
"Bros",1,TRUE
"Brown Boy",1,TRUE
"Brownstone",1,TRUE
"Brownsville Station",1,TRUE
"Bruce Hornsby",2,TRUE
"Bruce Springsteen",12,TRUE
"Bruno Mars",2,TRUE
"Bruno Mars & Cardi B",1,TRUE
"Bryan Adams",5,TRUE
"Bryan Ferry",1,TRUE
"Bryce Vine",1,TRUE
"Bryson Tiller",2,TRUE
"Bubba Sparxxx",1,TRUE
"Buck 22 Featuring Billy Ray Cyrus",1,TRUE
"Buckcherry",1,TRUE
"Bucky Covington",1,TRUE
"Buddy Jewell",2,TRUE
"Burton Cummings",2,TRUE
"Busta Rhymes",2,TRUE
"Busta Rhymes & Mariah Carey Featuring The Flipmode Squad",1,TRUE
"Busta Rhymes Featuring Eminem",1,TRUE
"Busta Rhymes Featuring Ron Browz",1,TRUE
"Busta Rhymes Featuring Zhane",1,TRUE
"Buster Brown",2,TRUE
"C.W. McCall",1,TRUE
"C+C Music Factory",2,TRUE
"C+C Music Factory/F. Williams",1,TRUE
"Cake",1,TRUE
"Cali Swag District",1,TRUE
"Calvin Harris Featuring Frank Ocean & Migos",1,TRUE
"Calvin Harris Featuring Kehlani & Lil Yachty",1,TRUE
"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean",1,TRUE
"Calvin Harris Featuring Rihanna",1,TRUE
"Calvin Harris Featuring Young Thug, Pharrell Williams & Ariana Grande",1,TRUE
"Cam'Ron Featuring Juelz Santana",1,TRUE
"Cam'ron Featuring Juelz Santana, Freekey Zekey & Toya",1,TRUE
"Cam'ron Featuring Kanye West & Syleena Johnson",1,TRUE
"Cam'Ron Featuring Mase",1,TRUE
"Cameo",1,TRUE
"Camila Cabello Featuring Quavo",1,TRUE
"Camila Cabello Featuring Young Thug",1,TRUE
"Canaan Smith",1,TRUE
"Capleton",1,TRUE
"Captain & Tennille",1,TRUE
"Cardi B",5,TRUE
"Cardi B & YG",1,TRUE
"Cardi B Featuring Chance The Rapper",1,TRUE
"Cardi B Featuring Migos",1,TRUE
"Cardi B, Bad Bunny & J Balvin",1,TRUE
"Carl Douglas",1,TRUE
"Carl Wilson",1,TRUE
"Carla Thomas",2,TRUE
"Carlos Vives & Shakira",1,TRUE
"Carly Pearce",1,TRUE
"Carly Simon",4,TRUE
"Carolyn Dawn Johnson",1,TRUE
"Carrie Underwood",6,TRUE
"Carrie Underwood Featuring Ludacris",1,TRUE
"Case",1,TRUE
"Case Featuring Foxxy Brown",1,TRUE
"Cassidy Featuring Mashonda",1,TRUE
"Cassidy Featuring R. Kelly",1,TRUE
"Cat Stevens",2,TRUE
"CeCe Peniston",2,TRUE
"Celine Dion",4,TRUE
"Chad Brock",1,TRUE
"Chaka Khan",2,TRUE
"Cham Featuring Alicia Keys",1,TRUE
"Chance The Rapper",2,TRUE
"Chance The Rapper Featuring Lil Wayne & 2 Chainz",1,TRUE
"Chante Moore",1,TRUE
"Charlie Daniels",1,TRUE
"Charlie Puth Featuring Meghan Trainor",1,TRUE
"Charlie Rich",1,TRUE
"Charlie Wilson",1,TRUE
"Chase Bryant",1,TRUE
"Chase Rice",1,TRUE
"Cheap Trick",1,TRUE
"Cheat Codes Featuring Demi Lovato",1,TRUE
"Cher",7,TRUE
"Chic",2,TRUE
"Chicago",4,TRUE
"Chico DeBarge",1,TRUE
"Chiddy Bang",1,TRUE
"Childish Gambino",1,TRUE
"Chingy",1,TRUE
"Chingy Featuring J. Weav",1,TRUE
"Chingy Featuring Jermaine Dupri",1,TRUE
"Chris Brown",14,TRUE
"Chris Brown & Tyga",1,TRUE
"Chris Brown Feat. Ludacris",1,TRUE
"Chris Brown Featuring Future & Young Thug",1,TRUE
"Chris Brown Featuring Kevin K-MAC McCall",1,TRUE
"Chris Brown Featuring Kevin McCall",1,TRUE
"Chris Brown Featuring Lil Wayne & Busta Rhymes",1,TRUE
"Chris Brown Featuring Lil Wayne & French Montana Or & Too $hort",1,TRUE
"Chris Brown Featuring Lil Wayne & French Montana Or Too $hort",1,TRUE
"Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga",1,TRUE
"Chris Brown Featuring Lil Wayne & Swizz Beatz",1,TRUE
"Chris Brown Featuring Lil' Wayne",1,TRUE
"Chris Brown Featuring Nicki Minaj",1,TRUE
"Chris Brown Featuring Plies",1,TRUE
"Chris Brown Featuring T-Pain",1,TRUE
"Chris Brown Featuring Tyga & Kevin McCall",1,TRUE
"Chris Brown Featuring Usher & Rick Ross",1,TRUE
"Chris Cagle",2,TRUE
"Chris Jamison & Adam Levine",1,TRUE
"Chris Janson",2,TRUE
"Chris Lane",1,TRUE
"Chris Rea",1,TRUE
"Chris Stapleton",3,TRUE
"Chris Young",3,TRUE
"Christina Aguilera",4,TRUE
"Christina Aguilera Featuring Lil' Kim",1,TRUE
"Christina Aguilera Featuring Nicki Minaj",1,TRUE
"Christina Aguilera Featuring Redman",1,TRUE
"Christina Milian",1,TRUE
"Christina Milian Featuring Joe Budden",1,TRUE
"Christopher Cross",1,TRUE
"Chubb Rock",1,TRUE
"Chubby Checker",3,TRUE
"Chuck Berry",6,TRUE
"Ciara",3,TRUE
"Ciara Featuring 50 Cent",1,TRUE
"Ciara Featuring Chamillionaire",1,TRUE
"Ciara Featuring Ludacris",2,TRUE
"Ciara Featuring Missy Elliott",1,TRUE
"Ciara Featuring Nicki Minaj",1,TRUE
"Ciara Featuring Petey Pablo",1,TRUE
"Ciara Featuring T-Pain",1,TRUE
"Ciara Featuring Young Jeezy",1,TRUE
"Cinderella",2,TRUE
"City Girls",1,TRUE
"City High Featuring Eve",1,TRUE
"Clarence Carter",4,TRUE
"Claude King",1,TRUE
"Clay Aiken",1,TRUE
"Clay Walker",3,TRUE
"Clean Bandit Featuring Sean Paul & Anne-Marie",1,TRUE
"Clipse",1,TRUE
"Coko",1,TRUE
"Colbie Caillat",2,TRUE
"Cold Blood",1,TRUE
"Coldplay",2,TRUE
"Cole Swindell",3,TRUE
"Collin Raye",1,TRUE
"Color Me Badd",4,TRUE
"Commodores",1,TRUE
"Concrete Blonde",1,TRUE
"Connie Francis",7,TRUE
"Conway Twitty",4,TRUE
"Coolio",1,TRUE
"Corona",1,TRUE
"Craig Campbell",1,TRUE
"Craig Mack",1,TRUE
"Craig Morgan",4,TRUE
"Crash Test Dummies",1,TRUE
"Crazy Town",1,TRUE
"Cream",1,TRUE
"Creedence Clearwater Revival",2,TRUE
"Crime Mob Featuring Lil Scrappy",2,TRUE
"Crucial Conflict",1,TRUE
"Crystal Gayle",2,TRUE
"Culture Club",1,TRUE
"Curtis Mayfield",3,TRUE
"Cypress Hill",2,TRUE
"D-12",1,TRUE
"D'Angelo",1,TRUE
"D12",1,TRUE
"D12 Featuring Eminem",1,TRUE
"D4L",1,TRUE
"Da Brat",3,TRUE
"Da Brat Featuring Cherish",1,TRUE
"Daddy Yankee",1,TRUE
"Daddy Yankee Featuring Fergie",1,TRUE
"Dae Dae",1,TRUE
"Daisy Dee",1,TRUE
"Dan Fogelberg",1,TRUE
"Dan Hill",1,TRUE
"Danielle Bradbery",3,TRUE
"Danity Kane",2,TRUE
"Darius Rucker",3,TRUE
"Darlene Love",2,TRUE
"Darryl Worley",3,TRUE
"Daryl Hall",1,TRUE
"Daryl Hall  John Oates",5,TRUE
"Das EFX",3,TRUE
"Daughtry",2,TRUE
"Dave Dudley",1,TRUE
"Dave Matthews Band",1,TRUE
"David Ball",1,TRUE
"David Banner",1,TRUE
"David Banner Featuring Chris Brown",1,TRUE
"David Banner Featuring Lil' Flip",1,TRUE
"David Bowie",6,TRUE
"David Cook",2,TRUE
"David Essex",1,TRUE
"David Geddes",1,TRUE
"David Guetta Featuring Flo Rida & Nicki Minaj",1,TRUE
"David Guetta Featuring Jennifer Hudson",1,TRUE
"David Lee Murphy",1,TRUE
"David Lee Roth",1,TRUE
"David Ruffin",2,TRUE
"Davy Jones",1,TRUE
"Dawn Penn",1,TRUE
"Dazz Band",1,TRUE
"De La Soul",1,TRUE
"Dead Or Alive",1,TRUE
"Dean Friedman",1,TRUE
"Dean Martin",1,TRUE
"Dean Martin & Sammy Davis Jr.",1,TRUE
"Deana Carter",1,TRUE
"Debbie Gibson",1,TRUE
"Debelah Morgan",2,TRUE
"Deborah Allen",1,TRUE
"Deborah Cox",1,TRUE
"Dee Clark",1,TRUE
"Dee Dee Sharp",1,TRUE
"Deee-Lite",1,TRUE
"Deep Blue Something",1,TRUE
"Deep Purple",2,TRUE
"Def Leppard",5,TRUE
"DeJ Loaf",2,TRUE
"DeJ Loaf Featuring Big Sean",1,TRUE
"Del Reeves",1,TRUE
"Del Shannon",4,TRUE
"Delbert McClinton",1,TRUE
"Demi Lovato",8,TRUE
"Demi Lovato Featuring Cher Lloyd",1,TRUE
"Demi Lovato Featuring Jonas Brothers",1,TRUE
"Deniece Williams",1,TRUE
"Dennis Lloyd",1,TRUE
"Deodato",1,TRUE
"Depeche Mode",2,TRUE
"Derez De'Shon",1,TRUE
"Descendants 2 Cast",1,TRUE
"Desiigner",2,TRUE
"Desmond Dekker & The Aces",1,TRUE
"Destiny's Child",5,TRUE
"Destiny's Child Featuring T.I. & Lil Wayne",1,TRUE
"Devin Dawson",1,TRUE
"Dexys Midnight Runners",1,TRUE
"Dia Frampton",1,TRUE
"Diana Ross",3,TRUE
"Dickey Lee",1,TRUE
"Diddy Featuring Keyshia Cole",1,TRUE
"Dierks Bentley",5,TRUE
"Diggy Featuring Jeremih",1,TRUE
"Dilated Peoples Featuring Kanye West",1,TRUE
"Dion",5,TRUE
"Dionne Warwick",2,TRUE
"Dire Straits",4,TRUE
"Disturbed",1,TRUE
"Divine",1,TRUE
"Dixie Chicks",4,TRUE
"DJ Drama Featuring Chris Brown, Skeme & Lyquin",1,TRUE
"DJ Drama Featuring Wale, Tyga & Roscoe Dash",1,TRUE
"DJ ESCO Featuring Future & Lil Uzi Vert",1,TRUE
"DJ Khaled & Calvin Harris Featuring Travis Scott & Jeremih",1,TRUE
"DJ Khaled Feat. Akon, Plies, Young Jeezy, Rick Ross, Ace Hood, Trick Daddy & Lil' Boosie",1,TRUE
"DJ Khaled Featuring Beyonce & JAY Z",1,TRUE
"DJ Khaled Featuring Big Sean, Kendrick Lamar & Betty Wright",1,TRUE
"DJ Khaled Featuring Chris Brown, Lil Wayne & Big Sean",1,TRUE
"DJ Khaled Featuring Chris Brown, Rick Ross, Nicki Minaj & Lil Wayne",1,TRUE
"DJ Khaled Featuring Drake",1,TRUE
"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",3,TRUE
"DJ Khaled Featuring Jay Z & Future",1,TRUE
"DJ Khaled Featuring JAY Z & Future",1,TRUE
"DJ Khaled Featuring JAY Z, Future & B",1,TRUE
"DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo",1,TRUE
"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",1,TRUE
"DJ Khaled Featuring Kanye West & Rick Ross",1,TRUE
"DJ Khaled Featuring Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross",1,TRUE
"DJ Khaled Featuring Rick Ross, Plies, Lil Wayne & T-Pain",1,TRUE
"DJ Khaled Featuring Rihanna & Bryson Tiller",1,TRUE
"DJ Khaled Featuring T-Pain, Ludacris, Snoop Dogg & Rick Ross",1,TRUE
"DJ Khaled Featuring T.I. Akon, Rick Ross, Fat Joe. Lil' Wayne & Baby",1,TRUE
"DJ Kool",1,TRUE
"DJ Quik",1,TRUE
"DJ Sammy & Yanou Featuring Do",1,TRUE
"DJ Snake & AlunaGeorge",1,TRUE
"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",1,TRUE
"DMX Featuring Faith Evans",1,TRUE
"DNCE",1,TRUE
"Dolly Parton",4,TRUE
"Don Covay",1,TRUE
"Don Covay & The Goodtimers",1,TRUE
"Don Henley",3,TRUE
"Don McLean",1,TRUE
"Don Williams",1,TRUE
"Donna Fargo",1,TRUE
"Donna Summer",3,TRUE
"Donovan",4,TRUE
"Dorothy Moore",1,TRUE
"Dr. Dre",1,TRUE
"Dr. Dre Featuring Eminem",1,TRUE
"Dr. Hook",6,TRUE
"Dr. John",1,TRUE
"Drake",49,TRUE
"Drake & Future",4,TRUE
"Drake Featuring 2 Chainz & Big Sean",1,TRUE
"Drake Featuring 2 Chainz & Young Thug",1,TRUE
"Drake Featuring 21 Savage",1,TRUE
"Drake Featuring Alicia Keys",1,TRUE
"Drake Featuring Birdman",1,TRUE
"Drake Featuring Giggs",2,TRUE
"Drake Featuring JAY-Z",1,TRUE
"Drake Featuring Kanye West, Lil Wayne & Eminem",1,TRUE
"Drake Featuring Lil Wayne",3,TRUE
"Drake Featuring Lil Wayne & Young Jeezy",1,TRUE
"Drake Featuring Majid Jordan",1,TRUE
"Drake Featuring Nicki Minaj",2,TRUE
"Drake Featuring PARTYNEXTDOOR",2,TRUE
"Drake Featuring Pimp C & dvsn",1,TRUE
"Drake Featuring Quavo & Travis Scott",1,TRUE
"Drake Featuring Rihanna",1,TRUE
"Drake Featuring Static Major & Ty Dolla $ign",1,TRUE
"Drake Featuring T.I. & Swizz Beatz",1,TRUE
"Drake Featuring The Throne",1,TRUE
"Drake Featuring Trey Songz & Lil Wayne",1,TRUE
"Drake Featuring Young Thug",1,TRUE
"Dream",1,TRUE
"Dreezy Featuring Jeremih",1,TRUE
"Dru Hill",2,TRUE
"Duck Sauce",1,TRUE
"Dustin Lynch",2,TRUE
"Dusty Springfield",3,TRUE
"Dwele",1,TRUE
"Dwight Yoakam",1,TRUE
"E-40",1,TRUE
"Earth, Wind & Fire",7,TRUE
"Easton Corbin",2,TRUE
"Ed Sheeran",10,TRUE
"Eddie Kendricks",1,TRUE
"Eddie Money",7,TRUE
"Eddie Rabbitt",1,TRUE
"Eddy Grant",1,TRUE
"Edens Edge",1,TRUE
"Edison Lighthouse",1,TRUE
"Edwin McCain",1,TRUE
"Electric Light Orchestra",1,TRUE
"Elephant Man",1,TRUE
"Eli Young Band",3,TRUE
"Ella Fitzgerald",1,TRUE
"Ellie Goulding",2,TRUE
"Elliott Yamin",1,TRUE
"Elton John",20,TRUE
"Elton John & Kiki Dee",1,TRUE
"Elvis Costello",1,TRUE
"Elvis Presley",8,TRUE
"Emblem3",1,TRUE
"Emerson Drive",1,TRUE
"Eminem",31,TRUE
"Eminem Featuring Beyonce",1,TRUE
"Eminem Featuring Dido",1,TRUE
"Eminem Featuring Dr. Dre",2,TRUE
"Eminem Featuring Ed Sheeran",1,TRUE
"Eminem Featuring Gwen Stefani",1,TRUE
"Eminem Featuring Jessie Reyez",1,TRUE
"Eminem Featuring Joyner Lucas",1,TRUE
"Eminem Featuring Kobe",1,TRUE
"Eminem Featuring Lil Wayne",1,TRUE
"Eminem Featuring Nate Ruess",1,TRUE
"Eminem Featuring Pink",1,TRUE
"Eminem Featuring Rihanna",1,TRUE
"Eminem Featuring Royce Da 5'9",1,TRUE
