"artist","song","person","name","n"
"The Who","Pictures Of Lily",TRUE,"Lily",17
"Aerosmith","Janie's Got A Gun",TRUE,"Janie",16
"Bobby Russell","1432 Franklin Pike Circle Hero",FALSE,"Franklin",16
"Creedence Clearwater Revival","Suzie Q. (Part One)",TRUE,"Susie",16
"Elvis Costello","Veronica",TRUE,"Veronica",16
"Nancy Sinatra & Lee Hazlewood","Jackson",FALSE,"Jackson",16
"The Everly Brothers","Poor Jenny",TRUE,"Jenny",16
"The Kingsmen","Louie Louie",TRUE,"Louie",16
"Dean Martin","Houston",FALSE,"Houston",15
"Gladys Knight And The Pips","Midnight Train To Georgia",FALSE,"Georgia",15
"Golden Earring","Candy's Going Bad",TRUE,"Candy",15
"Incubus","Anna-Molly",TRUE,"Anna Molly",15
"MGK Featuring Waka Flocka Flame","Wild Boy",TRUE,"Steve",15
"Ricky Martin","Maria",TRUE,"Maria",15
"Al Green","Belle",TRUE,"Belle",14
"Anuel AA & Romeo Santos","Ella Quiere Beber",TRUE,"Ella",14
"Elton John","Little Jeannie",TRUE,"Jeannie",14
"Glee Cast","Jessie's Girl",TRUE,"Jessie",14
"Neil Sedaka","Alice In Wonderland",TRUE,"Alice",14
"Ricky Nelson","Hello Mary Lou",TRUE,"Mary Lou",14
"The Supremes","Floy Joy",TRUE,"Floy Joy",14
"Tommy Roe","Jack And Jill",TRUE,"Jack",14
"Billy Joe Royal","Cherry Hill Park",FALSE,"Cherry",13
"David Bowie","The Jean Genie",TRUE,"Jean",13
"Dean Martin & Sammy Davis Jr.","Sam's Song",TRUE,"Sam",13
"Dixie Chicks","Goodbye Earl",TRUE,"Earl",13
"Fifth Harmony","Bo$$",TRUE,"Michelle",13
"Gene Chandler","Duke Of Earl",FALSE,"Earl",13
"James Taylor","Carolina In My Mind",FALSE,"Carolina",13
"Jay-Z Featuring Big Jaz","Jigga What...",TRUE,"Jay",13
"Neneh Cherry","Buddy X",TRUE,"Buddy",13
"Ram Jam","Black Betty",TRUE,"Betty",13
"Ready For The World","Oh Sheila",TRUE,"Sheila",13
"Rod Stewart","The Killing Of Georgie (Part I And II)",TRUE,"Georgie",13
"Roger Miller","Vance",TRUE,"Vance",13
"Sheila E","The Belle Of St. Mark",FALSE,"Mark",13
"The Grass Roots","Bella Linda",TRUE,"Bella Linda",13
"Tommy Roe","Jack And Jill",TRUE,"Jill",13
"David Bowie","Blue Jean",TRUE,"Blue Jean",12
"Dion","Little Diane",TRUE,"Diane",12
"Donovan","To Susan On The West Coast Waiting",TRUE,"Susan",12
"Drake & Future","Diamonds Dancing",FALSE,"Diamond",12
"Eric Clapton","Layla",TRUE,"Layla",12
"Jason Michael Carroll","Alyssa Lies",TRUE,"Alyssa",12
"Laura Branigan","Gloria",TRUE,"Gloria",12
"Lil Wayne Featuring Kendrick Lamar","Mona Lisa",TRUE,"Mona Lisa",12
"Nancy Sinatra","Tony Rome",TRUE,"Tony",12
"Ray Charles","Georgia On My Mind",TRUE,"Georgia",12
"T.I. Featuring Swizz Beatz","Swing Ya Rag",FALSE,"Louis",12
"The Beach Boys","Wendy",TRUE,"Wendy",12
"The Coasters","Charlie Brown",TRUE,"Charlie",12
"The Spinners","Sadie",TRUE,"Sadie",12
"Warrant","Down Boys",TRUE,"Tom",12
"Aretha Franklin","Jimmy Lee",TRUE,"Jimmy Lee",11
"Bobby Hebb","Sunny",TRUE,"Sunny",11
"Britney Spears","If U Seek Amy",TRUE,"Amy",11
"Charlie Puth Featuring Meghan Trainor","Marvin Gaye",TRUE,"Marvin",11
"Chubby Checker","Lovely, Lovely (Loverly, Loverly)",TRUE,"Susannah",11
"Chuck Berry","Run Rudolph Run",TRUE,"Rudolph",11
"Johnny Mathis","Gina",TRUE,"Gina",11
"Kris Kross","Jump",TRUE,"Kris",11
"Manfred Mann","Mighty Quinn (Quinn The Eskimo)",TRUE,"Quinn",11
"Michael Jackson","Billie Jean",TRUE,"Billie Jean",11
"One Direction","Olivia",TRUE,"Olivia",11
"Rickie Lee Jones","Chuck E.'s In Love",TRUE,"Chuck",11
"Stephen Stills","Marianne",TRUE,"Marianne",11
"The Band","The Weight",TRUE,"Fanny",11
"The Olympics","Little Pedro",TRUE,"Pedro",11
"The Sweet","Blockbuster",TRUE,"Buster",11
"Warren G","Do You See",TRUE,"Warren",11
"Bananarama","Venus",TRUE,"Venus",10
"Barry Manilow","Mandy",TRUE,"Mandy",10
"Curtis Mayfield","Freddie's Dead (Theme From Superfly)",TRUE,"Freddie",10
"Danielle Bradbery","The Heart Of Dixie",TRUE,"Dixie",10
"Donovan","To Susan On The West Coast Waiting",TRUE,"Andy",10
"Fats Domino","Margie",TRUE,"Margie",10
"Gilbert O'Sullivan","Clair",TRUE,"Clair",10
"Jay-Z Featuring R. Kelly","Guilty Until Proven Innocent",TRUE,"Kelly",10
"Jim Stafford","Swamp Witch",TRUE,"Hattie",10
"Laura Branigan","Spanish Eddie",TRUE,"Eddie",10
"Melanie","Ruby Tuesday",TRUE,"Ruby",10
"Neil Diamond","Holly Holy",TRUE,"Holly",10
"Pebbles","Mercedes Boy",FALSE,"Mercedes",10
"Ray Stevens","Harry The Hairy Ape",TRUE,"Harry",10
"Styx","Lorelei",TRUE,"Lorelei",10
"The Hollies","Sorry Suzanne",TRUE,"Suzanne",10
"The O'Jays","Brandy",TRUE,"Brandy",10
"Tommy Roe","Hooray For Hazel",TRUE,"Hazel",10
"Dean Martin","On An Evening In Roma",FALSE,"Roma",9
"Del Shannon","Sue's Gotta Be Mine",TRUE,"Sue",9
"Derez De'Shon","Hardaway",TRUE,"Penny",9
"Elton John","Daniel",TRUE,"Daniel",9
"Four Tops","Bernadette",TRUE,"Bernadette",9
"Fred Wesley & The J.B's","Doing It To Death",TRUE,"Fred",9
"J. Cole","Who Dat",TRUE,"Cole",9
"Jeannie C. Riley","Harper Valley P.T.A.",FALSE,"Harper",9
"John Denver","Rocky Mountain High",FALSE,"Rocky",9
"Kenny Rogers","Coward Of The County",TRUE,"Tommy",9
"Kim Carnes","Bette Davis Eyes",TRUE,"Bette",9
"Neil Sedaka","Run Samson Run",TRUE,"Samson",9
"Nicki Minaj","Roman In Moscow",TRUE,"Roman",9
"Nicki Minaj Featuring Eminem & Labrinth","Majesty",TRUE,"Nicki",9
"Rick Ross Featuring Drake & Chrisette Michele","Aston Martin Music",FALSE,"Martin",9
"Tom Jones","Delilah",TRUE,"Delilah",9
"Tom T. Hall","The Year That Clayton Delaney Died",TRUE,"Clayton",9
"Tracy Byrd","Ten Rounds With Jose Cuervo",TRUE,"Jose",9
"Young Money","Roger That",TRUE,"Roger",9
"Young Thug","Stoner",FALSE,"Boston",9
"Aretha Franklin","Get It Right",TRUE,"Luther",8
"Barenaked Ladies","Brian Wilson",TRUE,"Brian",8
"Bob Dylan","Hurricane (Part I)",TRUE,"Rubin",8
"Dionne Warwick","Message To Michael",TRUE,"Michael",8
"Eddie Money","Take Me Home Tonight",TRUE,"Ronnie",8
"Fleetwood Mac","Rhiannon (will You Ever Win)",TRUE,"Rhiannon",8
"Heidi Newfield","Johnny & June",TRUE,"June",8
"Jason Derulo","Cheyenne",TRUE,"Cheyenne",8
"Jerry Reed","Amos Moses",TRUE,"Amos",8
"Joe Diffie","John Deere Green",TRUE,"Charlene",8
"Joshua Kadison","Picture Postcards From L.A.",TRUE,"Rachel",8
"Kodak Black Featuring Lil Wayne","Codeine Dreaming",FALSE,"Christian",8
"Kodak Black Featuring Lil Wayne","Codeine Dreaming",FALSE,"Venus",8
"Lil Dicky Featuring Chris Brown","Freaky Friday",TRUE,"Chris",8
"Marillion","Kayleigh",TRUE,"Kayleigh",8
"Mark McGuinn","Mrs. Steven Rudy",TRUE,"Steven",8
"MC Lyte","Poor Georgie",TRUE,"George",8
"Migos","Narcos",TRUE,"Pablo",8
"Neil Diamond","Cherry, Cherry",TRUE,"Cherry",8
"Ohio Players","Funky Worm",TRUE,"Clarence",8
"Richard Marx","Angelia",TRUE,"Angelia",8
"Rick James","Mary Jane",FALSE,"Mary Jane",8
"Rick Ross Featuring Styles P","B.M.F. (Blowin' Money Fast)",TRUE,"Larry",8
"Rod Stewart","Leave Virginia Alone",TRUE,"Virginia",8
"Sugarland","Joey",TRUE,"Joey",8
"The Beatles","Penny Lane",FALSE,"Lane",8
"The Beatles","Penny Lane",FALSE,"Penny",8
"The Chainsmokers","Paris",FALSE,"Paris",8
"The Left Banke","Desiree'",TRUE,"Desiree",8
"The Lumineers","Ophelia",TRUE,"Ophelia",8
"Train","Save Me, San Francisco",FALSE,"Francisco",8
"Usher Featuring Jay-Z","Hot Tottie",TRUE,"King",8
"Bobbie Gentry","Ode To Billie Joe",TRUE,"Billie Joe",7
"Britney Spears","3",TRUE,"Paul",7
"Britney Spears","3",TRUE,"Peter",7
"Conway Twitty","Danny Boy",TRUE,"Danny",7
"Dionne Warwick","The April Fools",FALSE,"April",7
"Emblem3","Chloe (You're The One I Want)",TRUE,"Chloe",7
"Engelbert Humperdinck","My Marie",TRUE,"Marie",7
"Florida Georgia Line","Bumpin' The Night",FALSE,"Bud",7
"Georgie Fame","The Ballad Of Bonnie And Clyde",TRUE,"Bonnie",7
"Georgie Fame","The Ballad Of Bonnie And Clyde",TRUE,"Clyde",7
"Illegal","We Getz Busy",TRUE,"Malik",7
"Jimi Hendrix","Dolly Dagger",TRUE,"Dolly",7
"John Anderson","Swingin'",TRUE,"Charlotte",7
"Kendrick Lamar","Duckworth.",TRUE,"Anthony",7
"Lil Wayne Featuring T-Pain","Got Money",TRUE,"Wayne",7
"Lloyd Price","Stagger Lee",TRUE,"Lee",7
"Martina McBride","God's Will",TRUE,"Will",7
"Marty Robbins","Ballad Of The Alamo",TRUE,"Travis",7
"Phil Vassar","Carlene",TRUE,"Carlene",7
"R.E.M.","Drive",TRUE,"Ollie",7
"Red Sovine","Teddy Bear",TRUE,"Teddy",7
"Ritchie Valens","Donna",TRUE,"Donna",7
"Styx","Sing For The Day",TRUE,"Hannah",7
"The Cuff Links","Tracy",TRUE,"Tracy",7
"The Olympics","Big Boy Pete",TRUE,"Pete",7
"The Simpsons Featuring Bart","Deep, Deep Trouble",TRUE,"Bart",7
"Weezer","Beverly Hills",FALSE,"Beverly",7
"ZZ Top","Leila",TRUE,"Leila",7
"2 Chainz Featuring Ariana Grande","Rule The World",FALSE,"Dawn",6
"Amine","Caroline",TRUE,"Caroline",6
"Aretha Franklin","Eleanor Rigby",TRUE,"Eleanor",6
"Beyonce & Shakira","Beautiful Liar",TRUE,"Shakira",6
"Blood, Sweat & Tears","Lisa, Listen To Me",TRUE,"Lisa",6
"Bobby Darin","Clementine",TRUE,"Clementine",6
"Boney M","Rivers Of Babylon",TRUE,"Zion",6
"Boston","Amanda",TRUE,"Amanda",6
"Bryce Vine","Drew Barrymore",TRUE,"Drew",6
"Claude King","Wolverton Mountain",TRUE,"Clifton",6
"Dean Friedman","Ariel",TRUE,"Ariel",6
"Dean Martin & Sammy Davis Jr.","Sam's Song",TRUE,"Dean",6
"Dion","Sandy",TRUE,"Sandy",6
"Duck Sauce","Barbra Streisand",TRUE,"Barbra",6
"Elton John","Border Song",TRUE,"Moses",6
"Eve","Got It All",TRUE,"Eve",6
"Famous Dex Featuring A$AP Rocky","Pick It Up",TRUE,"Dexter",6
"Fetty Wap","Jimmy Choo",TRUE,"Robin",6
"Floyd Cramer","San Antonio Rose",FALSE,"Antone",6
"Frank Ocean","Chanel",FALSE,"Chanel",6
"Gallery","Big City Miss Ruth Ann",TRUE,"Ruth Ann",6
"Jefferson Starship","St. Charles",FALSE,"Charles",6
"Jermaine Stewart","Jody",TRUE,"Jody",6
"Jim Croce","Bad, Bad Leroy Brown",TRUE,"Leroy",6
"Kevin Gates","Let It Sing",TRUE,"Aretha",6
"Kevin Gates","Let It Sing",TRUE,"Billy Jean",6
"Kevin Gates","Let It Sing",TRUE,"Ray",6
"Lil  Troy Featuring Yungsta, Fat Pat, Lil  Will, Hawk, Big T","Wanna Be A Baller",TRUE,"Ike",6
"Michael Jackson","Ben",TRUE,"Ben",6
"Offset & Metro Boomin","Nightmare",TRUE,"Freddy",6
"Paul McCartney & Wings","Helen Wheels",TRUE,"Helen",6
"Post Malone","Zack And Codeine",TRUE,"Cody",6
"Sam Cooke","Cousin Of Mine",TRUE,"Julie",6
"Taylor Swift","Tim McGraw",TRUE,"Tim",6
"Thalia Featuring Fat Joe","I Want You",FALSE,"Don",6
"The Dramatics","Hey You! Get Off My Mountain",TRUE,"Ken",6
"The Olympics","Shimmy Like Kate",TRUE,"Kate",6
"The Supremes","Nathan Jones",TRUE,"Nathan",6
"Toto","Pamela",TRUE,"Pamela",6
"Waylon Jennings","Are You Sure Hank Done It This Way",TRUE,"Hank",6
"Wet Willie","Keep On Smilin'",TRUE,"Rollin",6
"Aaron Carter","That's How I Beat Shaq",TRUE,"Aaron",5
"Akon Featuring Eminem","Smack That",TRUE,"Bo",5
"Another Bad Creation","Iesha",TRUE,"Iesha",5
"Bone Thugs-N-Harmony","East 1999",FALSE,"Cleveland",5
"Britney Spears Featuring Madonna","Me Against The Music",TRUE,"Britney",5
"Chuck Berry","Dear Dad",FALSE,"Ford",5
"Conway Twitty","Linda On My Mind",TRUE,"Linda",5
"Desiigner","Panda",FALSE,"Oscar",5
"Dickey Lee","The Girl From Peyton Place",FALSE,"Peyton",5
"Disturbed","Inside The Fire",TRUE,"Devon",5
"Eminem Featuring Dido","Stan",TRUE,"Stan",5
"Faces","Cindy Incidentally",TRUE,"Cindy",5
"Fetty Wap Featuring Remy Boyz","679",TRUE,"Remy",5
"Glee Cast","Beth",TRUE,"Beth",5
"Hot Chocolate","Emma",TRUE,"Emma",5
"Iggy Azalea","Sally Walker",TRUE,"Walker",5
"JAY-Z Featuring Damian \Jr. Gong\ Marely","Bam",TRUE,"Shawn",5
"Joni Mitchell","Carey",TRUE,"Carey",5
"Kenny Rogers","Scarlet Fever",TRUE,"Scarlet",5
"Marky Mark & The Funky Bunch","Wildside",TRUE,"Charles",5
"Meek Mill Featuring Kodak Black","Tic Tac Toe",FALSE,"Ace",5
"Michael Nesmith & The First National Band","Joanne",TRUE,"Joanne",5
"Mike Jones","Back Then",TRUE,"Mike",5
"Neil Diamond","Cracklin' Rosie",TRUE,"Rosie",5
"Paul Simon","You Can Call Me Al",TRUE,"Al",5
"Pure Prairie League","Amie",TRUE,"Amie",5
"Rascal Flatts","Skin (Sarabeth)",TRUE,"Sara Beth",5
"ScHoolboy Q Featuring Kanye West","THat Part",TRUE,"Kobe",5
"Taylor Swift","Hey Stephen",TRUE,"Stephen",5
"Teresa Brewer","Pickle Up A Doodle",TRUE,"Belinda",5
"The Everly Brothers","Cathy's Clown",TRUE,"Cathy",5
"The Oak Ridge Boys","Bobbie Sue",TRUE,"Bobbie Sue",5
"The Ting Tings","That's Not My Name",TRUE,"Jo",5
"The Ting Tings","That's Not My Name",TRUE,"Stacey",5
"Timbaland Featuring Missy \Misdemeanor\"" Elliott""","Here We Come",TRUE,"Missy",5
"Tony Bennett","When Joanna Loved Me",FALSE,"May",5
"Tony Joe White","Roosevelt And Ira Lee (Night of'the Mossacin)",TRUE,"Ira Lee",5
"Tony Joe White","Roosevelt And Ira Lee (Night of'the Mossacin)",TRUE,"Roosevelt",5
"twenty one pilots","Nico And The Niners",TRUE,"Nico",5
"Waka Flocka Flame Featuring Roscoe Dash & Wale","No Hands",TRUE,"Roscoe",5
"Wilson Pickett","Mini-Skirt Minnie",TRUE,"Minnie",5
"A Boogie Wit da Hoodie Featuring PnB Rock & YoungBoy Never Broke Again","Beast Mode",FALSE,"Rico",4
"A Tribe Called Quest","Award Tour",TRUE,"Muhammad",4
"Akon","Angel",FALSE,"Angel",4
"Blondie","Maria",TRUE,"Regina",4
"Bob Dylan","Hurricane (Part I)",TRUE,"Patty",4
"Bobby Bare","Miller's Cave",FALSE,"Miller",4
"Bobby Vee","Please Don't Ask About Barbara",TRUE,"Barbara",4
"Brian Hyland","Ginny Come Lately",TRUE,"Ginny",4
"Case","Missing You",FALSE,"June",4
"Chuck Berry","Carol",TRUE,"Carol",4
"Chuck Berry","Too Pooped To Pop (Casey)",TRUE,"Casey",4
"Ciara Featuring Ludacris","Ride",TRUE,"Ciara",4
"David Guetta Featuring Flo Rida & Nicki Minaj","Where Them Girls At",TRUE,"Lilly",4
"David Lee Roth","Yankee Rose",FALSE,"Rose",4
"Desiigner","Panda",TRUE,"Montana",4
"Desiigner","Panda",TRUE,"Randy",4
"Dixie Chicks","Goodbye Earl",TRUE,"Wanda",4
"Don Henley","Johnny Can't Read",FALSE,"Summer",4
"Donovan","Celia Of The Seals",TRUE,"Celia",4
"Edison Lighthouse","Love Grows (Where My Rosemary Goes)",TRUE,"Rosemary",4
"Eminem","We Made You",TRUE,"Jessica",4
"Eminem","When I'm Gone",TRUE,"Hailie",4
"Europe","Carrie",TRUE,"Carrie",4
"Fat Joe Featuring R. Kelly","We Thuggin'",FALSE,"Henry",4
"Fats Domino","Ida Jane",TRUE,"Ida Jane",4
"Flo Rida Featuring Sean Kingston","Roll",TRUE,"Kingston",4
"Floyd Cramer","San Antonio Rose",TRUE,"Rose",4
"Four Tops","Walk Away Renee",TRUE,"Renee",4
"French Montana","Ain't Worried About Nothin",TRUE,"Nina",4
"Future","Super Trapper",TRUE,"Albert",4
"Glee Cast Featuring Chris Colfer & Amber Riley","4 Minutes",TRUE,"Madonna",4
"Goo Goo Dolls","Slide",TRUE,"May",4
"Illegal","We Getz Busy",TRUE,"Erick",4
"Incubus","Megalomaniac",TRUE,"Elvis",4
"Joe Diffie","John Deere Green",TRUE,"Billy Bob",4
"John Denver","Take Me Home, Country Roads",FALSE,"Virginia",4
"Johnny Cash","Don't Take Your Guns To Town",TRUE,"Billy Joe",4
"Johnny Cash","The Matador",TRUE,"Anita",4
"Judy Collins","Chelsea Morning",TRUE,"Chelsea",4
"Kenny Rogers","Coward Of The County",TRUE,"Becky",4
"Keri Hilson Featuring Lil Wayne","Turnin Me On",TRUE,"Keri",4
"Lady Gaga","Alejandro",TRUE,"Roberto",4
"Las Ketchup","The Ketchup Song (Hey Hah)",TRUE,"Diego",4
"Lesley Gore","Sunshine, Lollipops And Rainbows",FALSE,"Sunshine",4
"Level 42","Running In The Family",TRUE,"Emily",4
"Lil Baby & Gunna Featuring Lil Durk & NAV","Off White VLONE",TRUE,"Alexander",4
"Lil Uzi Vert","New Patek",TRUE,"Frank",4
"Lil Uzi Vert","X",TRUE,"Leonardo",4
"Lil Wayne","Used 2",TRUE,"Ivan",4
"Lil Wayne Featuring Kendrick Lamar","Mona Lisa",TRUE,"Liz",4
"Lil' Flip Featuring Lea","Sunshine",TRUE,"Sunshine",4
"Lil' Kim","Lighters Up",FALSE,"Brooklyn",4
"Lou Bega","Mambo No. 5 (A Little Bit Of...)",TRUE,"Rita",4
"Lou Bega","Mambo No. 5 (A Little Bit Of...)",TRUE,"Sandra",4
"Mariah Carey","Honey",TRUE,"Mariah",4
"Marky Mark & The Funky Bunch","Wildside",TRUE,"Ron",4
"Marty Robbins","El Paso",TRUE,"Rosa",4
"Marty Robbins","Jimmy Martinez",TRUE,"Sarah",4
"Marty Robbins","Ruby Ann",TRUE,"Ruby Ann",4
"Metro Boomin Featuring Gunna","Space Cadet",TRUE,"Rick",4
"Miguel Featuring Travis Scott","Sky Walker",TRUE,"Luke",4
"Mr. Big","Romeo",TRUE,"Juliet",4
"Nelly Featuring City Spud","Ride Wit Me",TRUE,"Nelly",4
"Paul Simon","The Obvious Child",TRUE,"Sonny",4
"Petey Pablo","Freek-A-Leek",TRUE,"Christina",4
"Petey Pablo","Freek-A-Leek",TRUE,"Monica",4
"Petey Pablo","Freek-A-Leek",TRUE,"Monique",4
"Ray Stevens","The Streak",TRUE,"Ethel",4
"Rihanna","Cheers (Drink To That)",FALSE,"Jameson",4
"Rodney Dangerfield","Rappin' Rodney",TRUE,"Rodney",4
"Romeo Santos Featuring Nicky Jam & Daddy Yankee","Bella y Sensual",TRUE,"Nicky",4
"Sheck Wes","Mo Bamba",TRUE,"Ali",4
"Sheryl Crow","All I Wanna Do",FALSE,"Monica",4
"Shontelle","T-Shirt",FALSE,"Jimmy",4
"Sublime","Doin' Time",TRUE,"Bradley",4
"T.I.","Hell Of A Life",TRUE,"Serena",4
"The 5th Dimension","Flashback",FALSE,"Winter",4
"The Allman Brothers Band","Melissa",TRUE,"Melissa",4
"The Band","Up On Cripple Creek",TRUE,"Bessie",4
"The Irish Rovers","The Unicorn",TRUE,"Noah",4
"The J. Geils Band","Centerfold",TRUE,"Angel",4
"The Rolling Stones","Ruby Tuesday",TRUE,"Ruby Tuesday",4
"The White Buffalo & The Forest Rangers","Come Join The Murder",TRUE,"Martin Luther",4
"The Who","Athena",TRUE,"Athena",4
"Tom Tom Club","Genius Of Love",TRUE,"James",4
"Toto","Rosanna",TRUE,"Rosanna",4
"Trippie Redd Featuring Juice WRLD","1400 / 999 Freestyle",TRUE,"Madison",4
"Troop 41","Do The John Wall",FALSE,"Raleigh",4
"Twista","Overnight Celebrity",TRUE,"Goldie",4
"Young Money Featuring Gucci Mane","Steady Mobbin'",TRUE,"Kane",4
"50 Cent","Window Shopper",TRUE,"Jada",3
"A Boogie Wit da Hoodie Featuring 6ix9ine","Swervin",TRUE,"London",3
"Alanis Morissette","Thank U",FALSE,"India",3
"America","Right Before Your Eyes",TRUE,"Greta",3
"Andrew McMahon In The Wilderness","Cecilia And The Satellite",TRUE,"Cecilia",3
"Ariana Grande & Victoria Monet","Monopoly",TRUE,"Cletus",3
"Avril Lavigne","Hello Kitty",TRUE,"Mina",3
"B.B. King","Paying The Cost To Be The Boss",TRUE,"Sammy",3
"Bill Conti","Gonna Fly Now",TRUE,"Rocky",3
"Blac Youngsta","Booty",TRUE,"Tyson",3
"Blake Shelton","Austin",TRUE,"Austin",3
"Blake Shelton","Footloose",TRUE,"Louise",3
"Bob Dylan","Hurricane (Part I)",TRUE,"Arthur",3
"Brantley Gilbert","Country Must Be Country Wide",TRUE,"Waylon",3
"Brantley Gilbert","Country Must Be Country Wide",TRUE,"Willie",3
"Bread","Aubrey",TRUE,"Aubrey",3
"Bryson Tiller","Self-Made",TRUE,"Giuseppe",3
"Carlos Vives & Shakira","La Bicicleta",TRUE,"Carlos",3
"Chris Brown Featuring Future & Young Thug","High End",TRUE,"Richard",3
"Chris Lane","Fix",TRUE,"Walter",3
"Chuck Berry","You Never Can Tell",TRUE,"Pierre",3
"Coldplay","Viva La Vida",FALSE,"Roman",3
"Craig Mack","Get Down",TRUE,"Mack",3
"Crash Test Dummies","Superman's Song",TRUE,"Solomon",3
"Dave Matthews Band","Mercy",TRUE,"Mercy",3
"David Ball","Riding With Private Malone",TRUE,"Andrew",3
"David Bowie","The Hearts Filthy Lesson",TRUE,"Ramona",3
"Deep Blue Something","Breakfast At Tiffany's",TRUE,"Tiffany",3
"Dixie Chicks","Goodbye Earl",TRUE,"Mary Anne",3
"Drake","6 Man",TRUE,"Lou",3
"Easton Corbin","Baby Be My Love Song",FALSE,"Dixie",3
"Eli Young Band","Dust",TRUE,"Ford",3
"Elton John","Candle In The Wind",TRUE,"Norma",3
"Eminem","Mockingbird",TRUE,"Laney",3
"Eminem","Normal",TRUE,"Milo",3
"En Vogue","Give It Up, Turn It Loose",TRUE,"Kevin",3
"Fifth Harmony","That's My Girl",TRUE,"Destiny",3
"Florida Georgia Line","Anything Goes",FALSE,"Victoria",3
"Future","Rent Money",FALSE,"Mac",3
"George Strait","Run",FALSE,"Dallas",3
"Ginuwine","Last Chance",TRUE,"Jordan",3
"Gordon Lightfoot","The Wreck Of The Edmund Fitzgerald",FALSE,"Edmund",3
"Gravediggaz","Diary Of A Madman",TRUE,"Buck",3
"Helen Reddy","Delta Dawn",TRUE,"Dawn",3
