"artist","song","person","name","n"
"Tyga Featuring Cedric Gervais, Wiz Khalifa & Mally Mall","Molly",FALSE,"Molly",113
"Toni Basil","Mickey",TRUE,"Mickey",61
"Justin Bieber","Baby",TRUE,"Baby",56
"Lustra","Scotty Doesn't Know",TRUE,"Scotty",55
"The Beach Boys","Help Me, Rhonda",TRUE,"Rhonda",51
"Bow Wow Featuring Soulja Boy Tell'em","Marco Polo",TRUE,"Marco",49
"Fergie","London Bridge",FALSE,"London",49
"Avril Lavigne","Hello Kitty",TRUE,"Kitty",43
"Run-D.M.C.","Mary, Mary",TRUE,"Mary",39
"The Notorious B.I.G.","Going Back To Cali",FALSE,"Cali",39
"Elton John","Bennie and the Jets",TRUE,"Bennie",38
"Alien Ant Farm","Smooth Criminal",TRUE,"Annie",36
"The Beach Boys","Barbara Ann",TRUE,"Barbara Ann",35
"The Supremes","Floy Joy",TRUE,"Floy",35
"Troop 41","Do The John Wall",TRUE,"John",33
"Jason Aldean","1994",TRUE,"Joe",32
"Dolly Parton","Jolene",TRUE,"Jolene",31
"Starship","Sara",TRUE,"Sara",30
"The Kingston Trio","Jane, Jane, Jane",TRUE,"Jane",30
"Gene Chandler","Duke Of Earl",FALSE,"Duke",29
"Lloyd Banks Featuring Juelz Santana","Beamer, Benz, Or Bentley",FALSE,"Bentley",29
"2Pac","I Wonder If Heaven Got A Ghetto",FALSE,"Heaven",27
"Black Oak Arkansas","Jim Dandy",TRUE,"Jim",27
"The Kinks","Lola",TRUE,"Lola",26
"Shaggy","Oh Carolina",TRUE,"Carolina",25
"Sheena Easton","Jimmy Mack",TRUE,"Jimmy",25
"Stevie Wonder","Heaven Help Us All",TRUE,"Heaven",25
"B.B. King","Paying The Cost To Be The Boss",TRUE,"Lucille",24
"Elton John","Lucy In The Sky With Diamonds",TRUE,"Lucy",24
"Juliet Simms","Roxanne",TRUE,"Roxanne",24
"Pretty Ricky","On The Hotline",TRUE,"Ricky",24
"The Beatles","Hey Jude",TRUE,"Jude",23
"Johnny Horton","Johnny Reb",TRUE,"Johnny",22
"Redbone","Maggie",TRUE,"Maggie",22
"Santana","Stormy",TRUE,"Stormy",22
"Sister Sledge","Frankie",TRUE,"Frankie",22
"Three Dog Night","Eli's Coming",TRUE,"Eli",22
"Dolly Parton","Romeo",TRUE,"Romeo",21
"Kris Kross","Jump",TRUE,"Mac",21
"Lady Gaga","Alejandro",TRUE,"Alejandro",21
"Michael Jackson","Dirty Diana",TRUE,"Diana",21
"The Pointer Sisters","American Music",FALSE,"America",21
"Tori Amos","Jackie's Strength",TRUE,"Jackie",21
"Dexys Midnight Runners","Come On Eileen",TRUE,"Eileen",20
"Jim Reeves","Billy Bayou",TRUE,"Billy",20
"Kiss","Christine Sixteen",TRUE,"Christine",20
"The Righteous Brothers","Justine",TRUE,"Justine",20
"Grand Funk Railroad","Sally",TRUE,"Sally",19
"Janis Joplin","Me And Bobby McGee",TRUE,"Bobby",19
"Rick Springfield","Bruce",TRUE,"Bruce",19
"The Doobie Brothers","Jesus Is Just Alright",TRUE,"Jesus",19
"The Marvelettes","Don't Mess With Bill",TRUE,"Bill",19
"The Oak Ridge Boys","Elvira",TRUE,"Elvira",19
"ABBA","Fernando",TRUE,"Fernando",18
"Elton John","Nikita",TRUE,"Nikita",18
"Julian Lennon","Jesse",TRUE,"Jesse",18
"The Rolling Stones","Angie",TRUE,"Angie",18
"Donovan","Jennifer Juniper",TRUE,"Jennifer",17
"Fountains Of Wayne","Stacy's Mom",TRUE,"Stacy",17
"Glee Cast","Valerie",TRUE,"Valerie",17
"Kenny Rogers & The First Edition","Reuben James",TRUE,"Reuben James",17
"Lesley Gore","Judy's Turn To Cry",TRUE,"Judy",17
"The Beach Boys","Peggy Sue",TRUE,"Peggy Sue",17
"The Four Seasons","Sherry",TRUE,"Sherry",17
"The Kinks","Victoria",TRUE,"Victoria",17
